10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
306.11%;-28.06%;20.16%;0.693;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.7}
305.69%;-28.49%;22.87%;-1.538;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
305.68%;-28.49%;21.90%;-0.028;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
305.56%;-28.61%;22.04%;-0.134;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
305.26%;-28.91%;26.68%;-1.608;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
305.26%;-28.92%;21.52%;0.286;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
304.91%;-29.27%;29.09%;-1.242;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
304.82%;-29.36%;22.55%;0.136;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
304.60%;-29.57%;25.74%;-1.454;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
304.06%;-30.11%;26.00%;-1.809;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.4}
304.05%;-30.12%;18.84%;-0.801;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
304.05%;-30.13%;30.14%;-0.508;{'roe': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
303.82%;-30.35%;25.03%;-1.569;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
303.66%;-30.51%;22.28%;-0.073;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
303.55%;-30.62%;23.21%;-0.572;{'roe': 0.2, 'fcfy': 0.4, 'dividend_yield': 0.4}
303.52%;-30.65%;29.96%;-1.975;{'roe': 0.1, 'fcfy': 0.8, 'dividend_yield': 0.1}
303.35%;-30.83%;19.18%;-0.457;{'roe': 0.4, 'fcfy': 0.3, 'dividend_yield': 0.3}
303.21%;-30.97%;19.92%;-0.15;{'roe': 0.3, 'fcfy': 0.3, 'dividend_yield': 0.4}
302.64%;-31.53%;23.26%;0.269;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
302.17%;-32.00%;19.86%;-0.853;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
302.07%;-32.11%;21.44%;-0.03;{'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
301.79%;-32.38%;26.57%;-1.146;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
301.78%;-32.40%;19.09%;-0.441;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
301.47%;-32.71%;25.71%;-1.754;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
301.43%;-32.74%;25.53%;-1.847;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.3}
301.42%;-32.75%;17.85%;-0.361;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
301.26%;-32.92%;20.42%;0.321;{'roe': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
301.19%;-32.98%;27.12%;-0.654;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.4}
300.57%;-33.61%;29.31%;-1.536;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
300.56%;-33.62%;19.91%;-0.05;{'roe': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.5}
299.94%;-34.24%;19.42%;-0.453;{'roe': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
299.90%;-34.27%;19.87%;0.029;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
299.69%;-34.48%;26.62%;-1.751;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
299.54%;-34.64%;26.20%;-1.852;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
299.29%;-34.89%;34.04%;-0.286;{'revenue_growth': 0.6, 'dividend_yield': 0.4}
299.19%;-34.98%;16.66%;-0.296;{'roe': 0.7, 'fcfy': 0.1, 'dividend_yield': 0.2}
299.03%;-35.15%;20.81%;-0.134;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
298.68%;-35.49%;19.77%;-0.019;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
298.26%;-35.91%;28.67%;0.126;{'roe': 0.3, 'revenue_growth': 0.7}
298.18%;-35.99%;21.01%;-0.679;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
297.23%;-36.94%;26.33%;-1.172;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
296.95%;-37.23%;25.33%;0.027;{'roic_wacc': 0.4, 'revenue_growth': 0.6}
296.29%;-37.88%;20.09%;-1.657;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
296.08%;-38.10%;26.05%;-1.601;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.3}
296.01%;-38.17%;20.37%;-0.13;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
295.93%;-38.25%;18.45%;-0.895;{'roe': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
295.67%;-38.50%;23.48%;-0.617;{'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
295.24%;-38.94%;19.89%;-0.167;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
295.09%;-39.09%;22.02%;0.071;{'roic_wacc': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
295.08%;-39.10%;19.28%;0.584;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.8}
294.91%;-39.26%;24.63%;-1.885;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
294.90%;-39.27%;29.35%;-0.408;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
294.80%;-39.38%;23.29%;-0.638;{'roe': 0.1, 'fcfy': 0.4, 'dividend_yield': 0.5}
294.71%;-39.46%;19.32%;0.418;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
294.70%;-39.48%;27.19%;-1.119;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
294.69%;-39.49%;19.38%;-1.109;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
294.45%;-39.73%;31.43%;-1.99;{'fcfy': 0.8, 'roic_wacc': 0.2}
294.33%;-39.84%;22.87%;-1.393;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
294.19%;-39.98%;20.48%;-0.075;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
294.13%;-40.05%;24.18%;-2.113;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
293.97%;-40.20%;19.24%;0.124;{'roe': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.6}
293.89%;-40.28%;19.78%;-0.318;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
293.77%;-40.40%;19.52%;-0.543;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
293.65%;-40.52%;24.08%;-1.062;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
293.50%;-40.67%;28.76%;-0.346;{'roe': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
293.41%;-40.77%;20.75%;0.162;{'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
293.33%;-40.85%;17.49%;0.128;{'roic_wacc': 0.7, 'dividend_yield': 0.3}
292.81%;-41.37%;24.81%;-1.987;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.2}
292.75%;-41.42%;21.62%;0.272;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
292.74%;-41.43%;19.18%;-1.764;{'roe': 0.5, 'fcfy': 0.3, 'dividend_yield': 0.2}
292.55%;-41.63%;23.95%;-1.502;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
292.45%;-41.73%;23.63%;0.044;{'fcfy': 0.4, 'dividend_yield': 0.6}
292.44%;-41.73%;24.63%;-1.001;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
292.31%;-41.87%;26.68%;-2.111;{'fcfy': 0.7, 'revenue_growth': 0.3}
292.10%;-42.08%;25.64%;-1.045;{'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
291.80%;-42.37%;24.13%;-0.331;{'roe': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
291.70%;-42.48%;20.52%;-0.539;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
291.44%;-42.73%;20.45%;-0.137;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
291.21%;-42.97%;19.44%;-0.023;{'roe': 0.4, 'roic_wacc': 0.6}
291.03%;-43.15%;21.62%;0.148;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
291.03%;-43.15%;23.90%;-0.374;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
290.94%;-43.24%;23.55%;-0.8;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
290.78%;-43.40%;24.40%;-1.733;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
290.75%;-43.42%;18.05%;0.265;{'roe': 0.6, 'fcfy': 0.2, 'roic_wacc': 0.2}
290.74%;-43.43%;21.60%;-0.843;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
290.42%;-43.75%;20.23%;-0.496;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
290.38%;-43.80%;30.06%;-0.367;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
290.34%;-43.84%;20.61%;-0.022;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
290.10%;-44.07%;21.61%;-1.858;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
289.61%;-44.56%;23.07%;-1.732;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
289.27%;-44.91%;22.25%;-0.113;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
289.14%;-45.03%;19.59%;0.088;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
288.86%;-45.31%;24.04%;-1.177;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
288.85%;-45.32%;30.72%;-0.645;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
288.85%;-45.33%;21.29%;-0.223;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
288.53%;-45.65%;20.10%;0.04;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
288.34%;-45.83%;23.88%;0.456;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
288.28%;-45.90%;23.25%;-1.657;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
288.26%;-45.92%;27.71%;-0.98;{'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
288.20%;-45.98%;24.16%;-0.075;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
288.10%;-46.08%;19.04%;0.144;{'roe': 0.5, 'roic_wacc': 0.5}
288.04%;-46.13%;29.31%;-0.613;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
288.03%;-46.14%;27.17%;-1.953;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.2}
287.83%;-46.35%;17.18%;-0.905;{'roe': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.4}
287.58%;-46.59%;19.58%;0.017;{'roe': 0.7, 'fcfy': 0.1, 'roic_wacc': 0.2}
287.57%;-46.60%;17.69%;-0.659;{'roe': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.3}
287.14%;-47.03%;22.71%;-1.709;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.2}
286.99%;-47.19%;19.18%;-0.476;{'roe': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
286.44%;-47.74%;19.85%;-0.046;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
286.24%;-47.93%;29.23%;-0.367;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
286.21%;-47.96%;26.72%;-1.776;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
286.18%;-48.00%;18.23%;-1.125;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
286.16%;-48.02%;19.97%;-0.856;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
286.04%;-48.13%;22.01%;-0.478;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
286.01%;-48.16%;18.03%;-0.467;{'roe': 0.6, 'dividend_yield': 0.4}
285.75%;-48.43%;25.54%;-1.748;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
285.68%;-48.50%;23.58%;-0.31;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
285.63%;-48.54%;26.91%;-0.606;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
285.45%;-48.73%;21.31%;-0.11;{'roe': 0.6, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
285.39%;-48.79%;21.76%;-0.146;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
285.29%;-48.89%;18.80%;-0.375;{'roe': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
285.24%;-48.94%;31.41%;-0.543;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
285.07%;-49.11%;20.87%;-0.765;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
285.02%;-49.16%;18.39%;-1.07;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
284.96%;-49.22%;25.87%;-1.27;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
284.91%;-49.26%;18.32%;-1.112;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
284.70%;-49.47%;22.62%;-0.63;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
284.67%;-49.51%;26.56%;-1.663;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.4}
284.60%;-49.58%;19.89%;-0.044;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.3}
284.59%;-49.58%;24.77%;-1.04;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
284.50%;-49.68%;27.02%;-1.705;{'fcfy': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
284.27%;-49.91%;25.83%;-1.232;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
284.19%;-49.99%;28.49%;-0.641;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
284.14%;-50.03%;20.78%;-1.195;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
284.14%;-50.04%;21.76%;-0.221;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
283.92%;-50.26%;22.81%;-1.014;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
283.91%;-50.26%;27.20%;-0.787;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
283.87%;-50.30%;25.51%;-0.075;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
283.57%;-50.61%;21.91%;-0.142;{'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
283.51%;-50.67%;20.30%;-0.489;{'roe': 0.3, 'fcfy': 0.4, 'dividend_yield': 0.3}
283.45%;-50.73%;21.46%;-0.861;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
283.21%;-50.96%;26.38%;-1.912;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
282.84%;-51.33%;26.79%;-0.674;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
282.84%;-51.34%;20.52%;-0.836;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
282.66%;-51.51%;26.73%;-0.701;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
282.41%;-51.77%;16.26%;-0.89;{'roe': 0.7, 'fcfy': 0.2, 'dividend_yield': 0.1}
282.32%;-51.85%;21.08%;-1;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
282.28%;-51.90%;20.06%;-0.389;{'roe': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
282.18%;-52.00%;21.59%;-0.749;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
282.15%;-52.02%;19.16%;-0.546;{'roe': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
282.06%;-52.11%;23.46%;-0.179;{'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
281.95%;-52.22%;23.25%;-0.604;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
281.92%;-52.25%;25.83%;-1.501;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
281.86%;-52.32%;18.43%;0.38;{'roic_wacc': 0.8, 'dividend_yield': 0.2}
281.61%;-52.56%;25.62%;-1.755;{'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
281.54%;-52.64%;19.76%;-0.735;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
281.50%;-52.67%;23.63%;-0.604;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
281.48%;-52.69%;18.29%;-1.125;{'roe': 0.5, 'fcfy': 0.2, 'dividend_yield': 0.3}
281.37%;-52.80%;18.34%;-0.692;{'roe': 0.7, 'fcfy': 0.2, 'roic_wacc': 0.1}
281.33%;-52.85%;31.25%;-0.358;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
281.30%;-52.87%;20.34%;-0.277;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
281.26%;-52.92%;18.60%;-0.662;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
280.93%;-53.25%;19.57%;-0.244;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
280.91%;-53.26%;24.24%;-0.526;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
280.79%;-53.38%;23.02%;0.078;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
280.62%;-53.55%;27.91%;-0.618;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
280.58%;-53.60%;22.44%;0.019;{'roe': 0.1, 'fcfy': 0.2, 'dividend_yield': 0.7}
280.49%;-53.68%;21.64%;0.059;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
280.46%;-53.71%;24.22%;-0.461;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
280.41%;-53.76%;19.52%;-0.801;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
280.39%;-53.79%;21.61%;-0.75;{'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
280.33%;-53.85%;19.43%;0.584;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
280.22%;-53.96%;22.90%;-0.029;{'roic_wacc': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
279.99%;-54.19%;24.52%;-1.173;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
279.97%;-54.20%;27.05%;-0.419;{'fcfy': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
279.69%;-54.49%;18.96%;0.111;{'roe': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
279.58%;-54.59%;31.90%;-0.41;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
279.57%;-54.61%;22.75%;0.212;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
279.51%;-54.66%;29.59%;-0.408;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
279.48%;-54.69%;21.46%;-0.244;{'roe': 0.2, 'fcfy': 0.2, 'dividend_yield': 0.6}
279.48%;-54.70%;27.95%;-1.554;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
279.45%;-54.72%;22.70%;-0.036;{'fcfy': 0.2, 'dividend_yield': 0.8}
279.43%;-54.75%;23.44%;-0.95;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
279.41%;-54.77%;18.57%;-0.56;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
279.30%;-54.87%;20.65%;0.007;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.4}
279.17%;-55.01%;23.14%;-0.113;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
279.06%;-55.11%;26.15%;-0.748;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
278.90%;-55.28%;23.55%;-1.657;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
278.80%;-55.38%;24.03%;-0.147;{'roe': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
278.64%;-55.54%;26.67%;-0.499;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
278.11%;-56.07%;19.19%;-0.12;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
277.97%;-56.20%;19.77%;-0.373;{'roe': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
277.81%;-56.36%;21.81%;-0.194;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
277.75%;-56.42%;32.74%;-0.643;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.6}
277.67%;-56.50%;27.99%;-1.723;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
277.60%;-56.57%;18.97%;0.035;{'roe': 0.8, 'fcfy': 0.1, 'roic_wacc': 0.1}
277.56%;-56.61%;23.01%;-0.938;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
277.44%;-56.73%;22.88%;0.019;{'roe': 0.1, 'fcfy': 0.3, 'dividend_yield': 0.6}
277.38%;-56.80%;19.43%;0.932;{'fcfy': 0.1, 'roic_wacc': 0.9}
276.95%;-57.22%;24.23%;-0.537;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
276.71%;-57.47%;20.30%;-0.265;{'roe': 0.7, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
276.70%;-57.48%;25.10%;-0.722;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
276.64%;-57.53%;22.65%;-0.032;{'roe': 0.2, 'fcfy': 0.1, 'dividend_yield': 0.7}
276.63%;-57.54%;22.68%;-0.042;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
276.37%;-57.81%;21.81%;-0.961;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
276.37%;-57.81%;19.89%;-0.458;{'roe': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
276.15%;-58.02%;23.45%;-1.054;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
