10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
348.11%;13.94%;30.73%;-0.462;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
348.04%;13.86%;32.89%;-0.13;{'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
347.21%;13.03%;29.64%;0.058;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
346.22%;12.05%;20.21%;0.216;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
345.85%;11.67%;22.45%;0.296;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
345.69%;11.52%;32.22%;-0.138;{'roe': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
345.60%;11.43%;34.04%;-2.144;{'fcfy': 0.8, 'revenue_growth': 0.2}
345.44%;11.26%;22.23%;0.172;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
344.03%;9.86%;26.59%;-1.064;{'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
343.78%;9.60%;30.35%;-1.566;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
342.44%;8.26%;22.41%;0.456;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
341.31%;7.13%;23.16%;0.296;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
341.14%;6.96%;19.88%;0.445;{'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
341.07%;6.90%;24.63%;-1.071;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
340.98%;6.81%;25.12%;-1.671;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
338.70%;4.52%;20.42%;0.107;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
338.61%;4.44%;31.73%;-1.783;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
338.52%;4.34%;33.45%;-2.02;{'fcfy': 0.8, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
338.07%;3.89%;31.31%;-1.938;{'roe': 0.1, 'fcfy': 0.8, 'revenue_growth': 0.1}
337.60%;3.43%;26.72%;-1.08;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.5}
337.29%;3.11%;29.44%;-0.219;{'roe': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
336.95%;2.78%;20.94%;-0.194;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
336.84%;2.67%;22.28%;0.296;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
336.08%;1.90%;32.00%;-1.746;{'fcfy': 0.8, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
335.69%;1.52%;32.93%;-0.008;{'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
335.62%;1.44%;20.85%;0.456;{'fcfy': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
334.98%;0.80%;21.03%;-0.288;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
334.95%;0.78%;20.92%;0.226;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.6}
334.66%;0.49%;31.14%;-1.782;{'roe': 0.1, 'fcfy': 0.8, 'roic_wacc': 0.1}
334.51%;0.33%;19.86%;-0.383;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
334.34%;0.16%;29.54%;-1.345;{'roe': 0.2, 'fcfy': 0.7, 'dividend_yield': 0.1}
332.36%;-1.82%;27.47%;-0.708;{'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
332.30%;-1.88%;21.45%;0.499;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
331.10%;-3.07%;23.05%;0.136;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
330.87%;-3.30%;27.86%;-0.209;{'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
