211.41442482248257 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
364.2104918760959 %;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
263.9871805107325 %;{'roe': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
316.88584357959894 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
220.06280339014984 %;{'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
275.24364140183906 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
260.72745184549933 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
215.20059548423168 %;{'roe': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
231.54707261622787 %;{'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
247.36960015873865 %;{'roe': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
282.409153410222 %;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
309.2245891758388 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
357.32770672181795 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
226.53175154662458 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
298.16070222198493 %;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
269.27040326587434 %;{'roe': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
295.22496499691323 %;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
274.9354930517576 %;{'roe': 0.5, 'fcfy': 0.3, 'dividend_yield': 0.2}
229.23283361200544 %;{'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
229.16599070621828 %;{'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
268.0040527420767 %;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
301.2721250608199 %;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
278.62827024400303 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
250.58405786367004 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
332.15485368568443 %;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
373.63805388776746 %;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
285.1760080131576 %;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
369.2672226409898 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
279.5505400456874 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
276.33555341740134 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
420.55945207637075 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
382.4541226248666 %;{'fcfy': 0.7, 'roic_wacc': 0.3}
230.72104064347926 %;{'revenue_growth': 0.3, 'dividend_yield': 0.7}
299.14440010565045 %;{'fcfy': 0.6, 'revenue_growth': 0.4}
330.11084694633377 %;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
267.2794152829337 %;{'roe': 0.4, 'fcfy': 0.6}
264.39926982091896 %;{'roe': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.6}
288.0788245351994 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
301.0666646622154 %;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
326.4689651828589 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
242.7422087530219 %;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
300.85311069577426 %;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
231.331592662651 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.5}
385.4490624152605 %;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
321.18791146366084 %;{'roe': 0.4, 'fcfy': 0.1, 'dividend_yield': 0.5}
210.67741739522518 %;{'roe': 0.9, 'fcfy': 0.1}
258.5787076379062 %;{'roic_wacc': 0.4, 'dividend_yield': 0.6}
266.4890434559232 %;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
254.3757437865713 %;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
296.22649562334715 %;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
265.3030666397989 %;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
248.80465716412738 %;{'roe': 0.3, 'fcfy': 0.6, 'roic_wacc': 0.1}
270.9941181317947 %;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
285.13130110099485 %;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
