270.5896999708218 %;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
302.39186572941526 %;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
404.8196599294245 %;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
272.5210018486963 %;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
243.9136440967868 %;{'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
304.03422661996353 %;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
401.6987258616475 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
264.67569500495716 %;{'roe': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.3}
170.46941801627665 %;{'roe': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
304.5604584002986 %;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
249.26977422918947 %;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
276.0981103651057 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
347.62377315307697 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
255.83078549078303 %;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
251.90215819014216 %;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
319.1324644618594 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
279.877036088458 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
318.09776286604244 %;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
260.0744237442541 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
367.3426705053547 %;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
377.67045608847616 %;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
246.11357624824777 %;{'roe': 0.1, 'fcfy': 0.2, 'dividend_yield': 0.7}
371.1727253888883 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
331.6649088218545 %;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
223.76169944724583 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
287.5449540225645 %;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
270.7267676575989 %;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
315.4504819133888 %;{'revenue_growth': 0.9, 'dividend_yield': 0.1}
354.90429025207294 %;{'roe': 0.1, 'fcfy': 0.6, 'dividend_yield': 0.3}
256.3905543793006 %;{'roe': 0.4, 'roic_wacc': 0.6}
320.7816921437324 %;{'roe': 0.4, 'revenue_growth': 0.6}
243.39239156576747 %;{'roe': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
237.26048861628186 %;{'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
261.5249754036172 %;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
314.9199768176342 %;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
334.14650493851383 %;{'roe': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
322.5208943698366 %;{'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
387.7214273640901 %;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
326.5444975972688 %;{'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
263.4582754328323 %;{'fcfy': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
327.81225341430434 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
370.15547047427424 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
285.0523438710929 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
300.02481187568765 %;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
244.4463493201089 %;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
256.23100481101693 %;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
284.72081805993474 %;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
322.61278715427244 %;{'fcfy': 0.1, 'revenue_growth': 0.8, 'dividend_yield': 0.1}
245.48363452707767 %;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
211.41442482248257 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
364.2104918760959 %;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
262.64243662671134 %;{'roe': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
306.9328766959772 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
210.5978663189297 %;{'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
275.2436414018392 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
266.5581552765099 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
220.3304537185752 %;{'roe': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
231.54707261622787 %;{'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
247.36960015873865 %;{'roe': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
292.7375804404768 %;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
314.3847643668047 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
341.40574173248683 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
226.53175154662458 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
298.79778797786264 %;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
267.120621040563 %;{'roe': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
293.30627320469887 %;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
275.6233165907725 %;{'roe': 0.5, 'fcfy': 0.3, 'dividend_yield': 0.2}
229.23283361200544 %;{'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
228.5215331436265 %;{'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
268.56490832821993 %;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
305.9100290714715 %;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
