10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
273.16%;133.58%;31.89%;0.928;0.344;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
272.88%;133.31%;30.44%;0.899;0.338;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
272.73%;133.16%;39.75%;1.089;0.365;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.2}
272.49%;132.92%;52.41%;0.969;0.541;{'fcfy': 0.5, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
272.37%;132.80%;41.98%;0.89;0.472;{'roe': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
272.33%;132.76%;20.54%;0.921;0.223;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
272.16%;132.59%;22.45%;0.899;0.25;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
271.37%;131.80%;36.03%;1.056;0.341;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
271.25%;131.68%;49.02%;0.919;0.533;{'roe': 0.4, 'dividend_yield': 0.6}
270.67%;131.09%;30.89%;0.925;0.334;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
270.63%;131.05%;-1.51%;0.873;-0.017;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
270.59%;131.02%;44.61%;0.921;0.484;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
270.25%;130.68%;33.02%;0.921;0.359;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.6}
270.21%;130.64%;50.77%;0.974;0.521;{'fcfy': 0.6, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
270.15%;130.57%;38.85%;0.993;0.391;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
270.11%;130.54%;33.97%;0.89;0.382;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
270.02%;130.44%;27.03%;0.897;0.301;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
269.97%;130.39%;38.30%;0.858;0.446;{'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
269.68%;130.10%;1.23%;0.979;0.013;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.4}
268.86%;129.28%;22.84%;0.882;0.259;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
268.69%;129.11%;27.89%;0.94;0.297;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
268.66%;129.08%;3.39%;0.928;0.037;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.7}
268.49%;128.91%;25.76%;0.955;0.27;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
268.38%;128.81%;22.05%;0.892;0.247;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
268.12%;128.54%;28.56%;0.907;0.315;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
268.10%;128.53%;24.68%;0.927;0.266;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
268.08%;128.50%;4.93%;0.945;0.052;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
267.89%;128.32%;22.90%;0.922;0.248;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
267.70%;128.12%;-7.10%;0.886;-0.08;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
267.57%;127.99%;-0.48%;0.95;-0.005;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
267.46%;127.88%;27.56%;0.902;0.306;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
267.45%;127.88%;27.04%;0.947;0.285;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
267.39%;127.81%;-2.67%;0.887;-0.03;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
267.25%;127.67%;35.99%;0.865;0.416;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
267.16%;127.58%;2.09%;0.852;0.025;{'roic_wacc': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
266.94%;127.37%;37.12%;0.997;0.372;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
266.66%;127.08%;24.14%;0.874;0.276;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
266.60%;127.03%;19.12%;0.926;0.206;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.5}
266.14%;126.56%;4.11%;0.915;0.045;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
265.53%;125.95%;23.03%;0.873;0.264;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
265.20%;125.62%;21.25%;0.927;0.229;{'roe': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
264.96%;125.38%;27.75%;0.925;0.3;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
264.55%;124.98%;24.79%;0.859;0.289;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
264.43%;124.85%;22.23%;0.913;0.243;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
264.06%;124.49%;33.97%;0.956;0.355;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
263.95%;124.37%;17.81%;0.868;0.205;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
263.81%;124.24%;40.50%;0.971;0.417;{'fcfy': 0.7, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
263.53%;123.96%;26.44%;0.924;0.286;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
263.06%;123.49%;9.23%;0.847;0.109;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
262.64%;123.07%;36.83%;1.011;0.364;{'fcfy': 0.8, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
262.42%;122.84%;46.56%;0.889;0.524;{'roe': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
262.39%;122.81%;3.68%;0.929;0.04;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
262.21%;122.63%;22.03%;0.911;0.242;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
261.88%;122.31%;21.21%;0.88;0.241;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
261.79%;122.21%;7.33%;0.915;0.08;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.7}
261.67%;122.10%;20.47%;0.87;0.235;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
261.48%;121.91%;38.26%;0.854;0.448;{'roe': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
261.31%;121.73%;27.38%;0.899;0.305;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
261.29%;121.72%;21.84%;0.882;0.248;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
260.98%;121.40%;40.35%;0.904;0.446;{'fcfy': 0.8, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
260.87%;121.29%;41.66%;0.883;0.472;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
260.70%;121.13%;28.46%;0.926;0.307;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
260.57%;120.99%;47.20%;0.876;0.539;{'roe': 0.1, 'fcfy': 0.6, 'dividend_yield': 0.3}
260.27%;120.69%;13.63%;0.884;0.154;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
260.16%;120.58%;24.44%;0.933;0.262;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
260.16%;120.58%;36.69%;0.847;0.433;{'roe': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
259.86%;120.28%;36.25%;0.907;0.4;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
259.82%;120.25%;18.77%;0.868;0.216;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
259.76%;120.19%;10.67%;0.899;0.119;{'roe': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
259.72%;120.15%;-1.22%;0.902;-0.013;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
259.09%;119.52%;35.94%;0.928;0.387;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
258.96%;119.38%;25.14%;0.853;0.295;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
258.29%;118.72%;27.45%;0.938;0.293;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
257.92%;118.34%;45.21%;0.913;0.495;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
257.91%;118.34%;29.23%;0.878;0.333;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
257.00%;117.42%;21.53%;0.912;0.236;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
256.97%;117.40%;21.77%;0.897;0.243;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
256.94%;117.37%;25.67%;0.88;0.292;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
256.92%;117.34%;22.11%;0.847;0.261;{'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
256.87%;117.29%;21.53%;0.877;0.245;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
256.73%;117.16%;37.17%;0.905;0.411;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
256.63%;117.05%;-0.33%;0.849;-0.004;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
255.97%;116.39%;10.60%;0.8;0.132;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
255.84%;116.27%;31.61%;0.923;0.342;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
255.74%;116.17%;-4.67%;0.835;-0.056;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
255.53%;115.96%;47.02%;0.933;0.504;{'fcfy': 0.9, 'roic_wacc': 0.1}
255.46%;115.88%;40.13%;0.856;0.469;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
255.45%;115.88%;38.71%;0.873;0.443;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
255.34%;115.77%;20.32%;0.876;0.232;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
255.34%;115.76%;28.00%;0.881;0.318;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
255.31%;115.74%;24.68%;0.906;0.272;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
255.28%;115.70%;23.49%;0.922;0.255;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
255.07%;115.49%;2.15%;0.941;0.023;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.5}
254.50%;114.92%;18.39%;0.884;0.208;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
254.47%;114.89%;0.80%;0.89;0.009;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.8}
254.37%;114.79%;45.24%;0.887;0.51;{'roe': 0.3, 'fcfy': 0.1, 'dividend_yield': 0.6}
254.24%;114.66%;21.66%;0.904;0.24;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
253.91%;114.34%;36.13%;0.878;0.411;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
253.70%;114.12%;33.80%;0.856;0.395;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
253.55%;113.98%;40.04%;0.878;0.456;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
253.39%;113.82%;14.86%;0.963;0.154;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.2}
253.39%;113.82%;-6.48%;0.84;-0.077;{'roic_wacc': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
253.31%;113.73%;-2.83%;0.875;-0.032;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
253.28%;113.70%;29.07%;0.905;0.321;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
252.93%;113.35%;23.83%;0.887;0.269;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.2}
252.81%;113.23%;41.43%;0.848;0.489;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
252.58%;113.01%;29.20%;0.88;0.332;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
252.51%;112.93%;32.80%;0.843;0.389;{'roe': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
252.34%;112.76%;0.88%;0.841;0.01;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
252.30%;112.72%;37.81%;0.986;0.383;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.3}
252.00%;112.43%;-0.76%;0.888;-0.008;{'fcfy': 0.4, 'revenue_growth': 0.6}
251.96%;112.39%;24.50%;0.869;0.282;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
251.74%;112.16%;25.28%;0.875;0.289;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
251.57%;112.00%;25.26%;0.868;0.291;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
251.34%;111.77%;-6.24%;0.835;-0.075;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
251.32%;111.74%;35.92%;0.846;0.424;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
251.23%;111.66%;-1.49%;0.883;-0.017;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.6}
251.23%;111.65%;32.55%;0.874;0.373;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
251.10%;111.53%;18.92%;0.854;0.222;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
250.96%;111.38%;27.76%;0.825;0.336;{'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
250.74%;111.16%;42.79%;0.936;0.457;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
250.67%;111.10%;21.07%;0.866;0.243;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
250.65%;111.07%;11.02%;0.797;0.138;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
250.49%;110.91%;24.60%;0.895;0.275;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
250.22%;110.64%;18.37%;0.867;0.212;{'roe': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
250.10%;110.53%;47.88%;0.874;0.548;{'roe': 0.2, 'fcfy': 0.4, 'dividend_yield': 0.4}
249.80%;110.22%;13.11%;0.849;0.154;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
249.52%;109.95%;20.67%;0.832;0.248;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
249.48%;109.90%;24.32%;0.897;0.271;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.4}
249.19%;109.62%;34.19%;0.851;0.402;{'fcfy': 0.8, 'dividend_yield': 0.2}
248.95%;109.38%;27.01%;0.841;0.321;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
248.88%;109.30%;32.45%;0.934;0.348;{'roe': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
248.83%;109.26%;14.77%;0.86;0.172;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
248.68%;109.10%;41.05%;0.902;0.455;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
248.64%;109.07%;18.90%;0.845;0.224;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
248.50%;108.93%;34.22%;0.846;0.404;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
248.43%;108.86%;34.46%;0.914;0.377;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
248.39%;108.82%;21.65%;0.822;0.263;{'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
248.28%;108.70%;33.25%;0.855;0.389;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
248.18%;108.61%;25.97%;0.95;0.273;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
248.16%;108.59%;21.45%;0.856;0.25;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
248.09%;108.51%;20.71%;0.824;0.251;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
247.61%;108.03%;29.01%;0.895;0.324;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.6}
247.49%;107.91%;22.29%;0.875;0.255;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
247.44%;107.87%;16.77%;0.826;0.203;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
247.43%;107.86%;21.10%;0.878;0.24;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
247.20%;107.63%;-5.20%;0.801;-0.065;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
247.03%;107.45%;30.77%;0.87;0.354;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
247.00%;107.43%;29.62%;0.895;0.331;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
246.89%;107.32%;-3.99%;0.848;-0.047;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
246.76%;107.18%;21.00%;0.84;0.25;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
246.67%;107.10%;40.45%;0.813;0.497;{'roic_wacc': 0.8, 'dividend_yield': 0.2}
246.20%;106.63%;28.12%;0.881;0.319;{'roe': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
246.00%;106.42%;36.24%;0.818;0.443;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
245.74%;106.17%;27.51%;0.871;0.316;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
245.68%;106.11%;36.26%;0.849;0.427;{'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
245.62%;106.04%;-6.00%;0.856;-0.07;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
245.37%;105.79%;-5.40%;0.904;-0.06;{'fcfy': 0.6, 'revenue_growth': 0.4}
245.26%;105.69%;36.86%;0.813;0.453;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
245.08%;105.50%;35.93%;0.993;0.362;{'roe': 0.3, 'fcfy': 0.6, 'revenue_growth': 0.1}
244.69%;105.11%;23.71%;0.9;0.263;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.4}
244.62%;105.04%;40.10%;0.833;0.481;{'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
244.07%;104.50%;19.47%;0.85;0.229;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
243.95%;104.37%;36.07%;0.854;0.423;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
243.89%;104.32%;32.02%;0.793;0.404;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
243.71%;104.14%;30.22%;0.847;0.357;{'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
243.29%;103.72%;20.53%;0.834;0.246;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
243.19%;103.61%;35.16%;0.962;0.365;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
243.14%;103.57%;24.50%;0.866;0.283;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
243.06%;103.49%;16.57%;0.834;0.199;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
242.83%;103.26%;24.13%;0.88;0.274;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
242.66%;103.09%;34.97%;0.815;0.429;{'roe': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
242.58%;103.00%;34.18%;0.889;0.385;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
242.55%;102.98%;28.64%;0.89;0.322;{'roe': 0.8, 'fcfy': 0.1, 'revenue_growth': 0.1}
242.41%;102.84%;29.90%;0.844;0.354;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
242.09%;102.51%;6.06%;0.861;0.07;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
241.92%;102.35%;27.36%;0.883;0.31;{'roe': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
241.62%;102.04%;33.34%;0.822;0.406;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
241.09%;101.51%;24.10%;0.874;0.276;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
241.02%;101.45%;21.80%;0.895;0.244;{'roe': 0.6, 'fcfy': 0.2, 'revenue_growth': 0.2}
240.86%;101.29%;40.70%;0.828;0.491;{'roe': 0.2, 'fcfy': 0.3, 'dividend_yield': 0.5}
240.84%;101.26%;39.70%;0.843;0.471;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
240.82%;101.25%;34.45%;0.86;0.401;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
240.60%;101.02%;33.41%;0.816;0.409;{'roe': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
240.12%;100.54%;33.66%;0.798;0.422;{'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
239.50%;99.93%;38.98%;0.834;0.467;{'roe': 0.4, 'fcfy': 0.1, 'dividend_yield': 0.5}
239.47%;99.89%;23.19%;0.885;0.262;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
238.88%;99.31%;28.28%;0.837;0.338;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
238.82%;99.25%;32.08%;0.821;0.391;{'roe': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
238.78%;99.21%;22.60%;0.887;0.255;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
238.65%;99.08%;33.66%;0.801;0.42;{'roe': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
238.43%;98.86%;23.30%;0.842;0.277;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
