10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
343.94%;204.36%;26.35%;1.109;0.238;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
342.48%;202.91%;55.07%;1.084;0.508;{'roic_wacc': 0.8, 'revenue_growth': 0.2}
341.51%;201.93%;11.34%;1.1;0.103;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
341.20%;201.62%;38.54%;1.105;0.349;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
340.48%;200.90%;37.03%;1.142;0.324;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.3}
338.97%;199.39%;36.50%;1.065;0.343;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
338.10%;198.53%;21.07%;1.052;0.2;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
337.37%;197.79%;38.57%;1.048;0.368;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
337.18%;197.60%;58.83%;1.115;0.528;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
335.52%;195.95%;66.64%;1.157;0.576;{'fcfy': 0.6, 'roic_wacc': 0.4}
335.44%;195.87%;17.91%;1.125;0.159;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
335.43%;195.86%;46.77%;1.072;0.436;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
335.22%;195.65%;54.76%;1.102;0.497;{'fcfy': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
335.20%;195.62%;52.33%;1.185;0.442;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
333.50%;193.92%;52.17%;1.055;0.495;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.8}
332.73%;193.16%;28.18%;0.99;0.285;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
331.88%;192.31%;26.21%;1.051;0.249;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
331.11%;191.53%;23.84%;1.054;0.226;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
330.56%;190.98%;30.46%;1.055;0.289;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
330.37%;190.80%;50.71%;1.07;0.474;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
328.81%;189.24%;54.51%;1.094;0.498;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
326.70%;187.13%;28.87%;1.055;0.274;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
325.18%;185.61%;45.24%;1.034;0.437;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
325.13%;185.56%;40.03%;1.121;0.357;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
324.46%;184.88%;39.19%;1.069;0.367;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
324.45%;184.88%;56.97%;1.084;0.526;{'fcfy': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
324.23%;184.65%;55.69%;1.011;0.551;{'fcfy': 0.1, 'roic_wacc': 0.9}
323.16%;183.58%;39.41%;1.11;0.355;{'roe': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
322.41%;182.83%;30.89%;1.064;0.29;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
321.19%;181.62%;43.75%;1.072;0.408;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
320.73%;181.16%;48.29%;1.052;0.459;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
320.63%;181.06%;55.89%;1.075;0.52;{'fcfy': 0.5, 'roic_wacc': 0.5}
319.23%;179.65%;12.10%;1.066;0.114;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
318.85%;179.28%;49.02%;1.038;0.472;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
318.72%;179.15%;71.02%;1.161;0.612;{'fcfy': 0.7, 'roic_wacc': 0.3}
318.56%;178.99%;16.39%;1.096;0.149;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
318.41%;178.84%;30.62%;1.068;0.287;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
317.26%;177.68%;49.07%;1.027;0.478;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
316.97%;177.39%;51.03%;1.056;0.483;{'roic_wacc': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
316.90%;177.33%;49.46%;1.023;0.484;{'roe': 0.2, 'roic_wacc': 0.8}
316.88%;177.31%;43.75%;1.159;0.377;{'roe': 0.2, 'fcfy': 0.6, 'revenue_growth': 0.2}
316.34%;176.77%;49.67%;1.03;0.482;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
315.08%;175.50%;52.08%;1.018;0.511;{'roic_wacc': 0.9, 'revenue_growth': 0.1}
313.11%;173.53%;54.60%;1.058;0.516;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
313.02%;173.44%;29.06%;1.01;0.288;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
312.70%;173.13%;59.76%;1.193;0.501;{'roe': 0.2, 'fcfy': 0.7, 'revenue_growth': 0.1}
312.47%;172.89%;43.98%;1.069;0.412;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
