10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
284.70%;145.13%;59.24%;0.973;0.609;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
284.52%;144.94%;29.09%;1.004;0.29;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
284.34%;144.76%;46.73%;0.89;0.525;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
284.21%;144.63%;27.67%;0.979;0.283;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
284.08%;144.51%;51.96%;0.97;0.536;{'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
283.19%;143.62%;41.32%;0.964;0.429;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.5}
283.13%;143.55%;41.85%;0.917;0.457;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
282.54%;142.96%;30.69%;0.964;0.318;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
282.37%;142.79%;30.68%;0.919;0.334;{'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
281.77%;142.19%;33.38%;0.925;0.361;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
281.49%;141.91%;14.39%;0.857;0.168;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
281.41%;141.84%;33.08%;0.953;0.347;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
280.83%;141.26%;28.40%;0.97;0.293;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
280.66%;141.09%;28.83%;0.955;0.302;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
280.23%;140.65%;28.72%;0.946;0.304;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
280.09%;140.51%;30.77%;0.971;0.317;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
279.99%;140.42%;26.17%;1.01;0.259;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
279.87%;140.30%;29.28%;0.915;0.32;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
279.77%;140.19%;51.04%;0.976;0.523;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
279.28%;139.70%;10.35%;0.975;0.106;{'fcfy': 0.5, 'revenue_growth': 0.5}
279.00%;139.42%;36.86%;0.919;0.401;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.5}
278.80%;139.23%;28.94%;0.933;0.31;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
278.62%;139.05%;8.66%;0.972;0.089;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
278.08%;138.51%;46.26%;0.989;0.468;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.4}
277.82%;138.25%;3.25%;0.911;0.036;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
277.72%;138.14%;48.89%;0.904;0.541;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
277.69%;138.12%;32.07%;0.953;0.337;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
277.03%;137.45%;0.75%;0.922;0.008;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
276.99%;137.42%;25.38%;0.907;0.28;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
276.96%;137.38%;27.81%;0.969;0.287;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
276.73%;137.15%;43.42%;0.93;0.467;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
276.55%;136.97%;27.61%;0.932;0.296;{'roic_wacc': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
276.34%;136.76%;41.24%;0.934;0.442;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
276.28%;136.70%;22.05%;0.896;0.246;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
276.27%;136.70%;41.19%;0.888;0.464;{'roe': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
276.22%;136.65%;15.85%;0.936;0.169;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
275.75%;136.17%;-1.10%;0.903;-0.012;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
275.44%;135.87%;33.02%;0.954;0.346;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
275.37%;135.80%;24.34%;0.94;0.259;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
275.33%;135.75%;47.28%;0.984;0.481;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
275.26%;135.69%;31.59%;0.898;0.352;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.6}
274.71%;135.14%;-2.59%;0.934;-0.028;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
274.61%;135.03%;4.96%;0.936;0.053;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
274.44%;134.86%;35.78%;1.06;0.338;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
274.01%;134.43%;31.14%;0.931;0.335;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
273.82%;134.25%;51.11%;0.964;0.53;{'fcfy': 0.5, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
273.61%;134.03%;26.18%;0.916;0.286;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
273.13%;133.55%;27.60%;0.908;0.304;{'roic_wacc': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
272.93%;133.36%;21.94%;0.889;0.247;{'roe': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
272.87%;133.29%;39.53%;0.881;0.449;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
272.83%;133.25%;37.32%;0.912;0.409;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
272.82%;133.25%;8.58%;0.893;0.096;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
272.78%;133.21%;26.67%;0.912;0.292;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
272.46%;132.88%;-1.11%;0.906;-0.012;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
272.43%;132.86%;22.81%;0.883;0.258;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
272.39%;132.82%;26.63%;0.978;0.272;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
272.32%;132.75%;41.64%;1.025;0.406;{'roe': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
272.27%;132.69%;19.59%;0.904;0.217;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
272.05%;132.48%;42.54%;0.9;0.472;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
271.84%;132.27%;31.37%;0.933;0.336;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
270.39%;130.81%;45.81%;0.918;0.499;{'roe': 0.4, 'dividend_yield': 0.6}
270.27%;130.69%;42.86%;0.928;0.462;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
270.02%;130.45%;19.91%;0.972;0.205;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
269.96%;130.38%;33.22%;0.952;0.349;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
269.83%;130.25%;46.06%;0.914;0.504;{'roe': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
269.68%;130.10%;3.74%;0.972;0.039;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.4}
269.31%;129.74%;29.02%;0.94;0.309;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
268.98%;129.40%;29.63%;0.925;0.32;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
268.83%;129.25%;-1.38%;0.898;-0.015;{'roic_wacc': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
268.80%;129.22%;1.53%;0.89;0.017;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
268.78%;129.21%;40.32%;0.927;0.435;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
268.65%;129.08%;40.49%;0.92;0.44;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
268.60%;129.03%;37.55%;1.057;0.355;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.2}
268.60%;129.02%;20.28%;0.892;0.227;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
268.43%;128.86%;46.59%;0.89;0.523;{'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
268.28%;128.71%;34.60%;0.983;0.352;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
267.96%;128.38%;34.94%;0.878;0.398;{'roe': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
267.94%;128.37%;29.59%;0.922;0.321;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
267.88%;128.31%;24.15%;0.912;0.265;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
267.69%;128.12%;25.42%;0.906;0.281;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
267.42%;127.84%;40.50%;0.966;0.419;{'fcfy': 0.8, 'roic_wacc': 0.2}
267.16%;127.58%;24.47%;0.922;0.265;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
266.96%;127.39%;-1.25%;0.899;-0.014;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
266.71%;127.13%;25.35%;0.923;0.275;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.2}
266.57%;126.99%;15.02%;0.843;0.178;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
266.30%;126.72%;25.99%;0.907;0.286;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
265.96%;126.38%;35.17%;0.97;0.362;{'fcfy': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
265.83%;126.25%;32.85%;0.851;0.386;{'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
265.76%;126.18%;37.47%;0.936;0.4;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
265.55%;125.98%;37.62%;0.895;0.42;{'fcfy': 0.4, 'roic_wacc': 0.6}
265.46%;125.88%;36.05%;0.958;0.376;{'roe': 0.8, 'fcfy': 0.1, 'revenue_growth': 0.1}
265.18%;125.61%;26.50%;0.876;0.302;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
264.94%;125.37%;40.63%;0.861;0.472;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
264.55%;124.97%;2.95%;0.883;0.033;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
264.16%;124.59%;24.19%;0.881;0.275;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
264.03%;124.46%;34.25%;0.857;0.399;{'roe': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
264.00%;124.42%;24.08%;0.893;0.27;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
263.90%;124.33%;41.38%;0.891;0.465;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
263.63%;124.06%;41.27%;0.871;0.474;{'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
263.37%;123.80%;31.98%;0.924;0.346;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
263.35%;123.77%;11.40%;0.926;0.123;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.7}
263.20%;123.63%;24.33%;0.897;0.271;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
263.15%;123.58%;31.51%;0.922;0.342;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
263.11%;123.53%;37.96%;0.874;0.434;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
262.98%;123.41%;36.80%;0.889;0.414;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
262.73%;123.16%;21.56%;0.91;0.237;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
262.63%;123.06%;40.77%;0.884;0.461;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
261.97%;122.40%;40.27%;0.845;0.476;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
261.95%;122.37%;46.78%;0.935;0.5;{'fcfy': 0.6, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
261.83%;122.25%;22.53%;0.87;0.259;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
261.58%;122.01%;41.57%;0.874;0.476;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
261.49%;121.91%;27.54%;0.924;0.298;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
261.24%;121.67%;18.77%;0.891;0.211;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
260.92%;121.35%;18.32%;0.903;0.203;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
260.82%;121.25%;23.82%;0.904;0.264;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
260.80%;121.23%;39.21%;0.908;0.432;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
260.75%;121.17%;40.56%;0.893;0.454;{'fcfy': 0.8, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
260.66%;121.08%;43.12%;0.893;0.483;{'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
260.12%;120.54%;29.21%;0.954;0.306;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
260.07%;120.49%;26.05%;0.901;0.289;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
259.60%;120.02%;24.76%;0.917;0.27;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
259.56%;119.99%;25.66%;0.882;0.291;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
259.52%;119.94%;42.17%;0.896;0.471;{'roe': 0.3, 'fcfy': 0.1, 'dividend_yield': 0.6}
259.51%;119.93%;36.91%;0.921;0.401;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
259.44%;119.87%;22.48%;0.889;0.253;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
259.37%;119.79%;1.26%;0.899;0.014;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
259.30%;119.72%;32.20%;0.89;0.362;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
259.22%;119.64%;52.65%;0.946;0.557;{'fcfy': 0.9, 'roic_wacc': 0.1}
259.21%;119.63%;24.58%;0.886;0.277;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
259.00%;119.43%;27.55%;0.866;0.318;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
258.82%;119.24%;50.93%;0.881;0.578;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
258.68%;119.11%;16.17%;0.881;0.183;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.5}
258.65%;119.07%;24.35%;0.902;0.27;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.4}
258.59%;119.02%;42.83%;0.841;0.509;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
258.42%;118.85%;36.98%;0.948;0.39;{'fcfy': 0.7, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
258.40%;118.83%;39.23%;0.995;0.394;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
258.35%;118.77%;37.57%;0.886;0.424;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
258.28%;118.71%;20.25%;0.873;0.232;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
258.26%;118.69%;17.92%;0.906;0.198;{'roe': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
258.20%;118.63%;17.00%;0.89;0.191;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
258.14%;118.57%;36.44%;1.017;0.358;{'fcfy': 0.8, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
257.93%;118.36%;37.39%;0.93;0.402;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
257.76%;118.18%;46.26%;0.865;0.535;{'roe': 0.1, 'fcfy': 0.6, 'dividend_yield': 0.3}
257.65%;118.08%;40.71%;0.896;0.455;{'roe': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
257.61%;118.03%;25.22%;0.873;0.289;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
257.52%;117.94%;43.78%;0.843;0.519;{'roe': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
257.50%;117.92%;36.94%;0.849;0.435;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
257.47%;117.90%;3.39%;0.925;0.037;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
257.42%;117.85%;21.25%;0.874;0.243;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
257.32%;117.74%;21.72%;0.872;0.249;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
257.22%;117.65%;24.34%;0.885;0.275;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
256.05%;116.47%;0.57%;0.899;0.006;{'roe': 0.1, 'revenue_growth': 0.9}
255.93%;116.35%;43.83%;0.938;0.467;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
255.68%;116.10%;36.52%;0.862;0.424;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
255.65%;116.08%;48.46%;0.896;0.541;{'roe': 0.2, 'fcfy': 0.4, 'dividend_yield': 0.4}
255.40%;115.83%;23.46%;0.882;0.266;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
255.24%;115.66%;2.43%;0.901;0.027;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
255.18%;115.61%;32.69%;0.854;0.383;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
255.11%;115.53%;18.91%;0.919;0.206;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
254.98%;115.41%;20.09%;0.886;0.227;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
254.97%;115.39%;33.08%;0.871;0.38;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
254.94%;115.37%;36.85%;0.871;0.423;{'fcfy': 0.8, 'dividend_yield': 0.2}
254.64%;115.06%;42.55%;0.878;0.484;{'roe': 0.2, 'fcfy': 0.3, 'dividend_yield': 0.5}
254.54%;114.97%;34.38%;0.821;0.419;{'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
254.48%;114.90%;38.34%;0.855;0.449;{'roe': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
254.21%;114.64%;30.49%;0.896;0.34;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.6}
254.20%;114.62%;18.80%;0.853;0.22;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
254.12%;114.54%;7.72%;0.89;0.087;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
254.02%;114.44%;28.40%;0.917;0.31;{'roe': 0.7, 'fcfy': 0.2, 'revenue_growth': 0.1}
253.94%;114.36%;3.39%;0.888;0.038;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.6}
253.83%;114.26%;21.82%;0.84;0.26;{'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
253.80%;114.23%;26.68%;0.931;0.287;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
253.75%;114.17%;37.14%;0.858;0.433;{'roe': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
253.45%;113.88%;30.19%;0.845;0.357;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
252.88%;113.31%;30.09%;0.898;0.335;{'roe': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
252.70%;113.13%;40.36%;0.843;0.479;{'roic_wacc': 0.8, 'dividend_yield': 0.2}
252.53%;112.96%;43.78%;0.834;0.525;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
252.49%;112.92%;16.30%;0.866;0.188;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
252.20%;112.63%;28.25%;0.834;0.339;{'roe': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
252.19%;112.61%;21.02%;0.869;0.242;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
252.04%;112.46%;18.73%;0.849;0.221;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
251.85%;112.27%;16.06%;0.858;0.187;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
251.70%;112.13%;29.65%;0.88;0.337;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
251.56%;111.98%;21.23%;0.884;0.24;{'roe': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
251.54%;111.96%;22.78%;0.847;0.269;{'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
251.52%;111.94%;2.08%;0.888;0.023;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.8}
251.44%;111.87%;29.35%;0.903;0.325;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
251.20%;111.62%;18.58%;0.826;0.225;{'roe': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
251.02%;111.45%;27.26%;0.85;0.321;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
250.74%;111.16%;34.49%;0.834;0.414;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
250.52%;110.95%;28.54%;0.951;0.3;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
250.44%;110.87%;42.98%;0.841;0.511;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
250.43%;110.85%;29.09%;0.895;0.325;{'roe': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
250.16%;110.59%;16.36%;0.854;0.192;{'roe': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
250.06%;110.48%;21.12%;0.868;0.243;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
250.00%;110.43%;18.14%;0.882;0.206;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
