406.1801382287475 %;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
298.5247348994352 %;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
293.1251864293725 %;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
370.4561785732335 %;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
301.3754766978914 %;{'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
254.22235219650474 %;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
351.1469940458505 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
290.3020745044685 %;{'roe': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.3}
180.93888643735778 %;{'roe': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
315.1154003437708 %;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
270.4734130687429 %;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
247.0734062980751 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
331.45957487571644 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
290.5786999617189 %;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
294.4864001649164 %;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
414.6622981125914 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
240.7351197254251 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
255.85762132358258 %;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
268.2577123332828 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
413.0174605310252 %;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
342.5924470324591 %;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
302.2768884025166 %;{'roe': 0.1, 'fcfy': 0.2, 'dividend_yield': 0.7}
406.17734473465805 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
437.7752461236679 %;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
280.56116623368894 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
318.3084183236686 %;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
282.0236294937813 %;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
182.16366994602225 %;{'revenue_growth': 0.9, 'dividend_yield': 0.1}
317.62618645514647 %;{'roe': 0.1, 'fcfy': 0.6, 'dividend_yield': 0.3}
242.24671627704225 %;{'roe': 0.4, 'roic_wacc': 0.6}
365.61767031819636 %;{'roe': 0.4, 'revenue_growth': 0.6}
254.0814312851222 %;{'roe': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
348.32040361832384 %;{'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
224.97577995315754 %;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
313.00627407971336 %;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
299.78115556381397 %;{'roe': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
273.1638003500126 %;{'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
401.5257644665681 %;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
265.3706017366616 %;{'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
352.9260919976486 %;{'fcfy': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
