259.2429301499889 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
367.18858212389244 %;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
207.9143281318877 %;{'roe': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
375.15825653259316 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
282.9714939882899 %;{'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.3}
294.98407835315123 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
360.21625471242754 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
212.07964098097972 %;{'roe': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
254.1009805383076 %;{'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
206.1117858201486 %;{'roe': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
349.9244551941045 %;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
292.72707521067105 %;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
393.440721963358 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
310.58016332207706 %;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
279.0275756637629 %;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
235.98059917084547 %;{'roe': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
267.7787023621101 %;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
334.51276615149277 %;{'roe': 0.5, 'fcfy': 0.3, 'dividend_yield': 0.2}
323.5633098732592 %;{'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
344.94326011890604 %;{'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
293.1235093022229 %;{'roe': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
244.96067998909302 %;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
265.0804794614305 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
281.55779481203166 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
305.9569322820541 %;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
386.26082027046033 %;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
285.9633974529979 %;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
435.9974400504135 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
289.26615520067935 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
285.6037675170034 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
265.6022502537836 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
361.87521209139516 %;{'fcfy': 0.7, 'roic_wacc': 0.3}
241.3653910662027 %;{'revenue_growth': 0.3, 'dividend_yield': 0.7}
413.09752485248003 %;{'fcfy': 0.6, 'revenue_growth': 0.4}
523.0499010900056 %;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
325.60999358970264 %;{'roe': 0.4, 'fcfy': 0.6}
203.0254349403287 %;{'roe': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.6}
254.89932695312126 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
334.732215946224 %;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
382.5607204018349 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
275.9010451198081 %;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
341.55060500485206 %;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
286.46967007005253 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.5}
480.1338968327226 %;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
351.1215694600706 %;{'roe': 0.4, 'fcfy': 0.1, 'dividend_yield': 0.5}
357.0439519816568 %;{'roe': 0.9, 'fcfy': 0.1}
259.916368343612 %;{'roic_wacc': 0.4, 'dividend_yield': 0.6}
266.61265450450315 %;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
333.31881442065423 %;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
327.48669719745305 %;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
271.085112923976 %;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
251.2949916991135 %;{'roe': 0.3, 'fcfy': 0.6, 'roic_wacc': 0.1}
381.2092749015632 %;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
211.5722204758858 %;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
309.76629271599404 %;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
274.61579427828775 %;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
312.01367458274234 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
280.2403341300304 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
373.0315772331281 %;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
420.3627798586213 %;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
272.3577946068906 %;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
218.5134274333378 %;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
