Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
Acconeer;Sverige;First North;Informationsteknik;Elektronisk utrustning;ACCON;Aktier;Q1-2018;;;;;-16.81835;33.23026;2.036847;266.3589;79027.21;-0.1327752;;;-0.2558971;;;;-55.174;439.5699;19.029;-1.3735;0.002641129;49.92358
Acosense;Sverige;Aktietorget;Industri;Tjänster & Leverans;ACOS;Aktier;Q1-2018;;;;;-2.626298;4.83236;5.996127;14.74465;5052.51;-2.815804;;;-12.61657;;;;-5.146667;19.12165;4.297;-1.6944;0.001171036;153.5508
AcouSort;Sverige;Aktietorget;Hälsovård;Bioteknik;ACOU;Aktier;Q1-2018;;;;;-9.733535;33.68048;44.88652;71.56616;16373.36;-2.086281;-1.904085;-5.106069;-6.732303;;;-6.010667;-6.010667;72.71616;7.512;-0.9945;0.002317218;66.10397
Acrinova;Sverige;Aktietorget;Finans & Fastighet;Fastigheter;ACRI;Aktier;Q1-2018;;0.1712159;;1.566667;4.344944;2.499016;0.8883247;410.8158;188.88;0.1657524;;;0.09049718;;-0.03841635;;-119.4643;216.3648;4.584;10.8632;3.78E-05;108.9981
Actic Group;Sverige;Small Cap;Sällanköpsvaror;Konsument;ATIC;Aktier;Q1-2018;;;0.2;0.3333333;107.8407;0.7269084;1.079985;1088.24;17240.11;-0.003256939;0.03251354;0.01270115;-0.00113979;;-0.4285597;-27.7062;-74.30433;675.58;15.896;0.3941;0.000967438;28.30974
Active Biotech;Sverige;Small Cap;Hälsovård;Bioteknik;ACTI;Aktier;Q1-2018;-0.9497537;-0.759434;;;-2.392569;12.16262;3.6796;234.1012;564952.7;-1.088219;-0.9814535;-1.115701;-1.381777;;;-129.68;-53.83333;246.9012;96.824;-1.0658;0.003180282;111.3665
Activision Blizzard;USA;"NYSE & Nasdaq
";Sällanköpsvaror;Betting & Spel;ATVI;Aktier;Q1-2018;3.577835;1.803452;0.266;0.3;156.3334;7.474936;5.523795;53413.14;6450045;0.05670819;0.07922558;0.06854595;0.04799944;-0.1425665;-0.2801068;788.2;1717;54238.14;759;0.4571;0.007891615;31.95954
AcuCort;Sverige;Aktietorget;Hälsovård;Läkemedel;ACUC;Aktier;Q1-2018;;;;;-5.820722;;0.988272;17.902;15814.16;-0.1363331;;;-0.2081933;;;;-4.425;27.892;6.973;-0.6872;0.001599323;83.24678
AdCityMedia;Sverige;First North;Sällanköpsvaror;Media;ACM;Aktier;Q1-2018;;;2.45;2.666667;58.28544;2.020309;4.61062;257.214;2959.89;0.1230473;0.2526021;0.1702027;0.08749104;;-0.1267022;1.932;4.859667;255.456;1.774;2.4706;0.00134575;38.17748
AdderaCare;Sverige;First North;Hälsovård;Sjukvård;ADDERA;Aktier;Q1-2018;;;;;-111.2619;0.8983709;1.490335;181.713;11036.07;0.06741387;;;0.05276012;;;;-45.26667;121.811;14.855;-0.0737;0.000738216;61.20137
AddLife;Sverige;Mid Cap;Hälsovård;Bioteknik;ALIF B;Aktier;Q1-2018;;;;1.466667;40.66463;2.028025;5.930398;5402.97;18652.03;0.1542501;;;0.1332888;;-0.01351084;;-34.03333;4773.97;24.172;4.8568;0.001240157;29.06646
Addnode;Sverige;Mid Cap;Informationsteknik;IT-Tjänster;ANOD B;Aktier;Q1-2018;1.478723;0.864;2.25;2.25;30.99332;1.075755;2.724108;3151.796;34061.13;0.08813456;0.09668183;0.1026591;0.09722301;0.06546883;-0.01880175;-93.75999;-180.0667;2835.796;30.427;3.0071;0.000739905;32.89756
Addtech;Sverige;Mid Cap;Industri;Handel & Distribution;ADDT B;Aktier;Q4-2018;1.60543;0.6478633;3.4;3.583333;25.113;1.60907;6.057231;14313.96;45241.64;0.5939695;0.462031;0.3674657;0.4776524;0.09567183;0.0909076;110;32;12907.96;66.95;7.6773;0.000519899;29.6193
ADDvise Group A;Sverige;First North;Hälsovård;Sjukvård;ADDV A;Aktier;Q1-2018;-0.4606452;-0.4775001;;;-15.8694;0.3212511;1.595322;227.9339;3221.64;-0.0702583;-0.6281644;-0.05108526;-0.02257248;;;-46.4626;-59.84534;81.04393;38.777;-0.1317;6.30E-05;54.28215
ADDvise Group B;Sverige;First North;Hälsovård;Sjukvård;ADDV B;Pref;Q1-2018;;;;;-10.55429;0.213655;1.061003;200.79;25884.36;-0.0702583;-0.6281644;-0.05108526;-0.02257248;;;-46.4626;-59.84534;53.90003;38.777;-0.1317;0.000421667;54.94663
Admicom;Finland;First North;Informationsteknik;IT-Tjänster;ADMCM;Aktier;Q4-2017;;;;;37.76361;9.198568;16.10196;72.654;;;;;;;;;;74.536;4.84;0.4078;0.000222789;
