"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  15 år";"Snitt 15 år";"Senaste";"Senaste";"Senaste";"Snitt 15 år";"Snitt 15 år";"Snitt 15 år";"Snitt 15 år";"Snitt 15 år";"Snitt 15 år";"År. tillv. 15 år";"Snitt 15 år"
"24SevenOffice";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";247;"Aktier";"Q1-2018";"";"";-2384.615;16.34289;12.88171;"";"";"";"";"";"";"";""
"2cureX";"Sverige";"First North";"Hälsovård";"Läkemedel";"2CUREX";"Aktier";"Q1-2018";"";"";-12.66036;15.35517;3.26124;"";"";"";"";"";"";"";""
"A Group of Retail";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AGORA B";"Aktier";"Q1-2018";"";"";24.2581;1.512282;0.4264593;"";"";"";"";"";"";"";""
"A Group of Retail Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AGORA PREF";"Pref";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";"";""
"A.P. Moller Maersk A";"Denmark";"Large Cap";"Industri";"Handel & Distribution";"MAERSK A";"Pref";"Q1-2018";0.4984075;285.0667;23.86974;1.002286;0.9272423;280808.7;0.05663292;21.69147;0.08039792;599.6732;1251.043;-0.04502197;212639.9
"A.P. Moller Maersk B";"Denmark";"Large Cap";"Industri";"Handel & Distribution";"MAERSK B";"Aktier";"Q1-2018";0.5840347;285.0667;25.533;1.072127;0.9918534;288311.5;0.05663292;21.69147;0.08039792;599.6732;1251.043;-0.04502197;220142.7
"A1M Pharma";"Sverige";"First North";"Hälsovård";"Sjukvård";"A1M";"Aktier";"Q1-2018";"";"";-0.5004888;"";1.499279;"";"";"";"";"";"";"";""
"A3 Allmänna IT- och Telekom";"Sverige";"Small Cap";"Telekommunikation";"Telekommunikationstjänster";"ATRE";"Aktier";"Q1-2018";"";"";67.73177;0.5772797;2.033397;"";"";"";"";"";"";"";""
"AaB";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AAB";"Aktier";"Q4-2017";-0.9243783;"";4.33614;0.8749138;0.4924812;"";"";"";"";"";"";"";""
"AarhusKarlshamn";"Sverige";"Large Cap";"Dagligvaror";"Livsmedel";"AAK";"Aktier";"Q1-2018";"";"";27.70657;1.288287;4.076043;"";"";"";"";"";"";"";""
"Aasen Sparebank";"Norge";"Merkur Market";"Finans & Fastighet";"Bank";"AASB-ME";"Aktier";"Q4-2017";"";"";1.410106;0.4457974;0.1134269;"";"";"";"";"";"";"";""
"ABB";"Sverige";"Large Cap";"Industri";"Produktion";"ABB";"Aktier";"Q1-2018";10.06947;4.19204;25.43552;1.49712;3.875746;311735.1;0.144751;2208.133;0.1739082;7.421632;12214.58;"";306568.6
"Abelco Investment";"Sverige";"NGM";"Finans & Fastighet";"Investmentbolag";"ABIG MTF";"Aktier";"Q4-2017";"";"";-10.60976;0.6359446;0.6467633;"";"";"";"";"";"";"";""
"ABG Sundal Collier";"Norge";"OB Match";"Finans & Fastighet";"Bank";"ASC";"Aktier";"Q1-2018";1.417671;"";11.99442;2.220226;3.415568;"";"";"";"";"";"";"";""
"Absolent";"Sverige";"First North";"Industri";"Byggprodukter";"ABSO";"Aktier";"Q1-2018";"";"";31.25604;4.211892;7.328071;"";"";"";"";"";"";"";""
"Absolicon";"Sverige";"Aktietorget";"Kraftförsörjning";"Energiproducenter";"ABSL";"Aktier";"Q1-2018";"";"";-79.83932;5.319819;5.507174;"";"";"";"";"";"";"";""
"AcadeMedia";"Sverige";"Mid Cap";"Sällanköpsvaror";"Konsument";"ACAD";"Aktier";"Q3-2018";"";"";12.86516;0.5847161;1.450179;"";"";"";"";"";"";"";""
"Acando";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ACAN B";"Aktier";"Q1-2018";4.541144;0.84;17.71309;1.289213;2.522548;1264.146;0.1440143;80.09128;0.125461;1.12642;65.87627;"";1327.803
