"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"Acarix";"Sverige";"First North";"Hälsovård";"Sjukvård";"ACARIX";"Aktier";"Q4-2017";"";"";-7.269915;339.2693;1.67873;"";"";"";"";"";"";"";""
"Acconeer";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"ACCON";"Aktier";"Q1-2018";"";"";-16.81835;33.23026;2.036847;"";"";"";"";"";"";"";""
"Acosense";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"ACOS";"Aktier";"Q1-2018";"";"";-2.626298;4.83236;5.996127;"";"";"";"";"";"";"";""
"AcouSort";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"ACOU";"Aktier";"Q1-2018";"";"";-9.733535;33.68048;44.88652;"";"";"";"";"";"";"";""
"Acrinova";"Sverige";"Aktietorget";"Finans & Fastighet";"Fastigheter";"ACRI";"Aktier";"Q1-2018";"";"";4.344944;2.499016;0.8883247;"";"";"";"";"";"";"";""
"Actic Group";"Sverige";"Small Cap";"Sällanköpsvaror";"Konsument";"ATIC";"Aktier";"Q1-2018";"";"";107.8407;0.7269084;1.079985;"";"";"";"";"";"";"";""
"Active Biotech";"Sverige";"Small Cap";"Hälsovård";"Bioteknik";"ACTI";"Aktier";"Q1-2018";-0.7988673;"";-2.392569;12.16262;3.6796;3040.69;-0.7863216;67.05479;-1.03099;-2.818813;-148.4951;"";3039.985
"Activision Blizzard";"USA";"NYSE & Nasdaq
";"Sällanköpsvaror";"Betting & Spel";"ATVI";"Aktier";"Q1-2018";34.42007;"";156.3334;7.474936;5.523795;"";"";"";"";"";"";"";""
"AcuCort";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"ACUC";"Aktier";"Q1-2018";"";"";-5.820722;"";0.988272;"";"";"";"";"";"";"";""
"AdCityMedia";"Sverige";"First North";"Sällanköpsvaror";"Media";"ACM";"Aktier";"Q1-2018";"";"";58.28544;2.020309;4.61062;"";"";"";"";"";"";"";""
"AdderaCare";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDERA";"Aktier";"Q1-2018";"";"";-111.2619;0.8983709;1.490335;"";"";"";"";"";"";"";""
"AddLife";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"ALIF B";"Aktier";"Q1-2018";"";"";40.66463;2.028025;5.930398;"";"";"";"";"";"";"";""
"Addnode";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ANOD B";"Aktier";"Q1-2018";2.654902;1.81;30.99332;1.075755;2.724108;1046.317;0.1143654;25.1218;0.1044051;2.899433;5.911871;0.0008279564;1065.384
"Addtech";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"ADDT B";"Aktier";"Q4-2018";15.76536;2.349967;25.113;1.60907;6.057231;5683.702;0.2770722;68.42734;0.3584767;5.846759;108.1333;0.1620914;5171.702
"ADDvise Group A";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDV A";"Aktier";"Q1-2018";"";0.1033333;-15.8694;0.3212511;1.595322;81.12943;-0.4328242;12.48493;-0.4546272;-0.2837467;-19.58253;"";42.53109
"ADDvise Group B";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDV B";"Pref";"Q1-2018";"";0.1033333;-10.55429;0.213655;1.061003;55.33568;-0.4328242;12.48493;-0.4546272;-0.2837467;-19.58253;"";16.73734
"Admicom";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"ADMCM";"Aktier";"Q4-2017";"";"";37.76361;9.198568;16.10196;"";"";"";"";"";"";"";""
"Admiral Capital";"Denmark";"Small Cap";"Finans & Fastighet";"Fastigheter";"ADMCAP B";"Aktier";"Q2-2018";"";"";11.78203;1.761865;0.7431026;"";"";"";"";"";"";"";""
"ADONnews";"Sverige";"Aktietorget";"Sällanköpsvaror";"Media";"ADON";"Aktier";"Q4-2017";"";"";-1.594828;2.644379;-1.762197;"";"";"";"";"";"";"";""
"Advanced Stabilized Tech";"Sverige";"NGM";"Informationsteknik";"Kommunikation";"ASTG MTF B";"Aktier";"Q4-2017";"";"";-1.72619;1.953984;3.984594;"";"";"";"";"";"";"";""
"Advenica";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ADVE";"Aktier";"Q1-2018";"";"";-5.066949;3.747438;2.556154;"";"";"";"";"";"";"";""
"Aega";"Norge";"Oslo Axess";"Finans & Fastighet";"Investmentbolag";"AEGA";"Aktier";"Q4-2017";"";"";-1.567426;1.267002;0.618178;"";"";"";"";"";"";"";""
"Aerowash";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"AERW B";"Aktier";"Q1-2018";"";"";-7.283633;1.218934;3.40613;"";"";"";"";"";"";"";""
"AF Gruppen";"Norge";"OB Match";"Industri";"Byggnation";"AFG";"Aktier";"Q1-2018";21.42771;"";19.09294;0.8532616;7.012627;"";"";"";"";"";"";"";""
"Afarak";"Finland";"Small Cap";"Material";"Gruv & Metall";"AFAGR";"Aktier";"Q4-2017";"";"";40.58823;1.25074;1.482512;"";"";"";"";"";"";"";""
"Africa Oil";"Sverige";"Mid Cap";"Energi";"Olja & Gas";"AOI";"Aktier";"Q1-2018";"";"";-116.3373;"";0.4724475;"";"";"";"";"";"";"";""
"African Petroleum";"Norge";"Oslo Axess";"Energi";"Olja & Gas";"APCL";"Aktier";"Q2-2017";"";"";-0.8749639;63.1013;0.5093693;"";"";"";"";"";"";"";""
"Ages Industri";"Sverige";"First North";"Industri";"Produktion";"AGES B";"Aktier";"Q1-2018";"";"";23.83677;0.6382514;1.503863;"";"";"";"";"";"";"";""
"AGF B";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AGF B";"Aktier";"Q2-2018";"";"";-7.27003;0.6643055;2.256173;"";"";"";"";"";"";"";""
"Agillic";"Denmark";"First North";"Informationsteknik";"IT-Tjänster";"AGILC";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";"";""
"Agromino";"Sverige";"Small Cap";"Dagligvaror";"Livsmedel";"AGRO";"Aktier";"Q4-2017";"";"";7.130314;0.7493885;0.7978033;"";"";"";"";"";"";"";""
"AHA World";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"AHA";"Aktier";"Q1-2018";"";"";-3.252747;0.7144482;2.013579;"";"";"";"";"";"";"";""
"Ahlsell";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"AHSL";"Aktier";"Q1-2018";"";"";16.67692;0.8422399;2.478261;"";"";"";"";"";"";"";""
"Ahlstrom-Munksjö";"Sverige";"Large Cap";"Industri";"Produktion";"AM1S";"Aktier";"Q1-2018";"";"";21.04998;0.6459692;1.559949;"";"";"";"";"";"";"";""
"Ahlstrom-Munksjö Oyj";"Finland";"Large Cap";"Industri";"Produktion";"AM1";"Aktier";"Q1-2018";"";"";20.32379;0.621572;1.578602;"";"";"";"";"";"";"";""
"Ahola Transport";"Finland";"First North";"Industri";"Handel & Distribution";"AHOLA";"Aktier";"Q1-2018";"";"";60.35714;0.4630929;1.584509;"";"";"";"";"";"";"";""
"AIK Fotboll";"Sverige";"NGM";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AIK B";"Aktier";"Q1-2018";"";"";-2.572665;0.3333415;0.7023381;"";"";"";"";"";"";"";""
"Aino Health";"Sverige";"First North";"Hälsovård";"Sjukvård";"AINO";"Aktier";"Q4-2017";"";"";-0.9790043;1.605483;1.417097;"";"";"";"";"";"";"";""
"Akastor";"Norge";"OB Match";"Finans & Fastighet";"Investmentbolag";"AKA";"Aktier";"Q1-2018";"";"";-18.50795;1.102558;0.9841907;"";"";"";"";"";"";"";""
"Akelius R. Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AKEL PREF";"Pref";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aker";"Norge";"OB Match";"Finans & Fastighet";"Investmentbolag";"AKER";"Aktier";"Q4-2017";"";"";28.79614;1.049837;2.065032;"";"";"";"";"";"";"";""
"Aker BP";"Norge";"OBX";"Energi";"Olja & Gas";"AKERBP";"Aktier";"Q1-2018";"";"";37.16108;4.867641;4.367588;"";"";"";"";"";"";"";""
"Aker Solutions";"Norge";"OBX";"Energi";"Olja & Gas";"AKSO";"Aktier";"Q1-2018";"";"";56.86888;0.6518256;2.175714;"";"";"";"";"";"";"";""
"Aktia Bank Abp";"Finland";"Mid Cap";"Finans & Fastighet";"Bank";"AKTIA";"Aktier";"Q1-2018";"";"";14.11467;2.769731;0.9745263;"";"";"";"";"";"";"";""
"AKVA Group";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"AKVA";"Aktier";"Q1-2018";"";"";18.47437;0.8859051;3.913467;"";"";"";"";"";"";"";""
"Alcadon Group";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALCA";"Aktier";"Q1-2018";"";"";15.88747;1.381614;5.262208;"";"";"";"";"";"";"";""
"Alelion Energy";"Sverige";"First North";"Industri";"Produktion";"ALELIO";"Aktier";"Q1-2018";"";"";-33.67302;4.207254;6.952615;"";"";"";"";"";"";"";""
"Alfa Laval";"Sverige";"Large Cap";"Industri";"Produktion";"ALFA";"Aktier";"Q1-2018";10.22;3.035333;28.97989;2.61178;4.2156;54433.84;0.1365692;427.0588;0.2095835;6.415387;1421.54;0.1181598;49600.02
"Alimak";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"ALIG";"Aktier";"Q1-2018";"";"";25.13498;1.765656;2.306683;"";"";"";"";"";"";"";""
"ALK-Abello";"Denmark";"Large Cap";"Hälsovård";"Läkemedel";"ALK B";"Aktier";"Q1-2018";"";"";-78.34318;3.708547;3.241453;"";"";"";"";"";"";"";""
"Allgon";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALLG B";"Aktier";"Q1-2018";"";"";-62.45675;0.7803477;1.264049;109.5353;-1.946972;7.225148;-2.039955;-3.69548;-9.365666;"";99.68118
"Alligator Bioscience";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"ATORX";"Aktier";"Q1-2018";"";"";-26.42226;40.69721;3.966578;"";"";"";"";"";"";"";""
"ALM Equity Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"ALM PREF";"Pref";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";"";""
"ALM Equtiy";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"ALM";"Aktier";"Q1-2018";"";"";9.910015;0.8721678;1.000228;"";"";"";"";"";"";"";""
"Alm. Brand";"Denmark";"Large Cap";"Finans & Fastighet";"Bank";"ALMB";"Aktier";"Q1-2018";0.7285718;"";13.89126;1.356428;2.159795;"";"";"";"";"";"";"";""
"Alma Media";"Finland";"Mid Cap";"Sällanköpsvaror";"Media";"ALMA";"Aktier";"Q1-2018";"";"";17.51357;1.568148;4.605664;"";"";"";"";"";"";"";""
"Alphahelix";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"ALPH";"Aktier";"Q1-2018";"";"";-17.63314;2.34401;14.96098;"";"";"";"";"";"";"";""
"Alteco Medical";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"ALTE";"Aktier";"Q1-2018";"";"";-3.183107;9.799089;2.406533;"";"";"";"";"";"";"";""
"Altia";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"ALTIA";"Aktier";"Q4-2017";"";"";17.43038;0.8683243;2.3314;"";"";"";"";"";"";"";""
"Alzinova";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"ALZ";"Aktier";"Q1-2018";"";"";-38.6143;11.46162;3.359558;"";"";"";"";"";"";"";""
"Amasten";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AMAST";"Aktier";"Q1-2018";"";"";12.2005;2.088449;0.6160625;631.4936;-1.022552;46.43927;-0.6228303;-29.51303;-125.1238;"";157.6975
"Amasten Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AMAST PREF";"Pref";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amazon";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Programvara & Internet";"AMZN";"Aktier";"Q1-2018";48.20996;"";197.8971;4.033834;24.76918;"";"";"";"";"";"";"";""
"Ambea";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"AMBEA";"Aktier";"Q1-2018";"";"";17.63951;0.7510471;1.754215;"";"";"";"";"";"";"";""
"Ambia Trading";"Sverige";"Aktietorget";"Industri";"Handel & Distribution";"AMBI";"Aktier";"Q4-2017";"";"";16.38563;0.04948644;1.874642;"";"";"";"";"";"";"";""
"Ambu";"Denmark";"Large Cap";"Hälsovård";"Sjukvård";"AMBU B";"Aktier";"Q2-2018";199.3396;"";163.082;18.75977;26.31774;"";"";"";"";"";"";"";""
"Amer Sports";"Finland";"Large Cap";"Sällanköpsvaror";"Konsument";"AMEAS";"Aktier";"Q1-2018";2.956381;"";32.6354;1.212998;3.870423;"";"";"";"";"";"";"";""
"American Shipping";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"AMSC";"Aktier";"Q4-2017";"";"";20.67022;2.307117;1.1051;"";"";"";"";"";"";"";""
"Amhult 2";"Sverige";"Aktietorget";"Finans & Fastighet";"Fastigheter";"AMH2 B";"Aktier";"Q1-2018";"";"";8.6448;15.28884;0.9459891;"";"";"";"";"";"";"";""
"Amnode";"Sverige";"Aktietorget";"Industri";"Produktion";"AMNO";"Aktier";"Q1-2018";"";"";-0.4088586;0.1023126;0.4114349;"";"";"";"";"";"";"";""
"Andersen & Martini";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"AM B";"Aktier";"Q4-2017";1.795455;"";2.606871;0.1386086;1.414879;"";"";"";"";"";"";"";""
"Angler Gaming";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"ANGL";"Aktier";"Q1-2018";"";"";10.74663;5.290092;9.000689;"";"";"";"";"";"";"";""
"Annexin";"Sverige";"First North";"Hälsovård";"Bioteknik";"ANNX";"Aktier";"Q1-2018";"";"";-0.7268366;"";1.527212;"";"";"";"";"";"";"";""
"Anoto";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"ANOT";"Aktier";"Q1-2018";-0.9761387;"";-43.58683;2.594358;1.244522;697.9844;-0.5225358;23.381;-0.5503699;-12.77777;-79.1798;"";746.9601
"Apetit";"Finland";"Small Cap";"Dagligvaror";"Livsmedel";"APETIT";"Aktier";"Q4-2017";0.648616;"";-141.5289;0.2698208;0.7561229;"";"";"";"";"";"";"";""
"Apple";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Elektronisk utrustning";"AAPL";"Aktier";"Q2-2018";143.1082;0.86;17.92807;3.863473;7.533921;288026.4;0.2957731;5918.062;0.295385;4.37692;12752.8;0.5579788;370757.5
"AppSpotr";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";"APTR";"Aktier";"Q3-2018";"";"";-2.922673;172.4172;3.967595;"";"";"";"";"";"";"";""
"Apptix";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"APP";"Aktier";"Q1-2018";"";"";-18.61702;"";0.1223384;"";"";"";"";"";"";"";""
"Aptahem";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"APTA";"Aktier";"Q1-2018";"";"";-3.75306;6145.731;1.653475;"";"";"";"";"";"";"";""
"AQ Group";"Sverige";"Mid Cap";"Industri";"Produktion";"AQ";"Aktier";"Q1-2018";36.77778;1.58;18.55932;0.8217285;1.949035;1525.151;0.1792807;17.89547;0.1778526;6.843887;31.50134;0.1393667;1447.882
"Aqua Bio Technology";"Norge";"Oslo Axess";"Sällanköpsvaror";"Konsument";"ABT";"Aktier";"Q2-2017";"";"";-9.82024;1.231695;0.7899358;"";"";"";"";"";"";"";""
"Aqualis";"Norge";"OB Standard";"Energi";"Olja & Gas";"AQUA";"Aktier";"Q1-2018";"";"";-3.909367;0.8397145;0.9213831;"";"";"";"";"";"";"";""
"Arbona A";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"ARBO MTF A";"Pref";"Q4-2017";"";"";16.07143;1.065535;1.180712;"";"";"";"";"";"";"";""
"Arbona B";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"ARBO MTF B";"Aktier";"Q4-2017";"";"";12.64881;0.8386158;0.929264;"";"";"";"";"";"";"";""
"Arc Aroma Pure";"Sverige";"First North";"Hälsovård";"Läkemedel";"AAP B";"Aktier";"Q3-2018";"";"";16.69679;20.06136;4.85929;"";"";"";"";"";"";"";""
"Archelon";"Sverige";"NGM";"Material";"Gruv & Metall";"ALON B";"Aktier";"Q4-2017";"";"";-10.34722;52.44386;5.912251;"";"";"";"";"";"";"";""
"Archer";"Norge";"OB Match";"Energi";"Olja & Gas";"ARCHER";"Aktier";"Q4-2017";"";"";2.96987;0.2142857;0.9054748;"";"";"";"";"";"";"";""
"Arcoma";"Sverige";"First North";"Hälsovård";"Sjukvård";"ARCOMA";"Aktier";"Q1-2018";"";"";-11.82575;1.316552;3.172249;"";"";"";"";"";"";"";""
"Arctic Minerals";"Sverige";"First North";"Material";"Gruv & Metall";"ARCT";"Aktier";"Q4-2017";"";"";-13.44689;"";0.453097;"";"";"";"";"";"";"";""
"Arctic Paper";"Sverige";"Small Cap";"Material";"Skog";"ARP";"Aktier";"Q1-2018";"";"";11.56649;0.1129557;0.5587869;"";"";"";"";"";"";"";""
"Arcus";"Norge";"OB Match";"Dagligvaror";"Konsumentprodukter";"ARCUS";"Aktier";"Q1-2018";"";"";15.55282;1.04155;1.691469;"";"";"";"";"";"";"";""
"Arendals Fossekompani";"Norge";"OB Standard";"Kraftförsörjning";"Energiproducenter";"AFK";"Aktier";"Q4-2017";8.211246;"";3.279714;1.808987;1.892262;"";"";"";"";"";"";"";""
"Arise Windpower";"Sverige";"Small Cap";"Kraftförsörjning";"Energiproducenter";"ARISE";"Aktier";"Q1-2018";"";"";-2.585076;1.650227;0.536225;"";"";"";"";"";"";"";""
"Arjo";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"ARJO B";"Aktier";"Q1-2018";"";"";2037.671;1.052339;1.519694;"";"";"";"";"";"";"";""
"Arkil Holding";"Denmark";"Small Cap";"Industri";"Byggnation";"ARKIL B";"Aktier";"Q4-2017";1.121739;"";5.032501;0.1666815;0.6030418;"";"";"";"";"";"";"";""
"AroCell";"Sverige";"First North";"Hälsovård";"Sjukvård";"AROC";"Aktier";"Q1-2018";"";"";-13.25121;511.7602;5.370851;"";"";"";"";"";"";"";""
"Asetek";"Norge";"OB Match";"Informationsteknik";"Elektronisk utrustning";"ASETEK";"Aktier";"Q1-2018";"";"";74.95533;4.150652;7.33813;"";"";"";"";"";"";"";""
"Asiakastieto";"Finland";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ATG1V";"Aktier";"Q1-2018";"";"";30.20844;7.859212;6.427568;"";"";"";"";"";"";"";""
"Aspire Global";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"ASPIRE";"Aktier";"Q1-2018";"";"";12.94259;1.6834;4.06497;"";"";"";"";"";"";"";""
"Aspo";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"ASPO";"Aktier";"Q4-2017";2.664172;"";14.30624;0.55023;2.47138;"";"";"";"";"";"";"";""
"Aspocomp";"Finland";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"ACG1V";"Aktier";"Q1-2018";-0.9005377;"";12.79959;0.6862788;1.345963;"";"";"";"";"";"";"";""
"Assa Abloy";"Sverige";"Large Cap";"Industri";"Byggprodukter";"ASSA B";"Aktier";"Q1-2018";6.576983;1.832207;24.5696;2.785465;3.954916;114597.3;0.1097415;1120.469;0.1696489;4.239167;1611.533;0.5823893;98683.52
"AstraZeneca";"Sverige";"Large Cap";"Hälsovård";"Läkemedel";"AZN";"Aktier";"Q1-2018";1.036478;16.88939;35.52074;4.443283;7.255011;598059.9;0.2004098;1392.667;0.2688983;25.34232;24219.56;0.02425519;549981.4
"Atea";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"ATEA";"Aktier";"Q1-2018";4.578257;"";23.27914;0.3907894;3.88557;"";"";"";"";"";"";"";""
"Athena Investments";"Denmark";"Small Cap";"Kraftförsörjning";"Energiproducenter";"ATHENA";"Aktier";"Q4-2017";-0.555;"";13.78563;2.151235;0.5799736;"";"";"";"";"";"";"";""
"Atlantic Lumpus";"Norge";"Merkur Market";"Dagligvaror";"Livsmedel";"ATLU-ME";"Aktier";"Q4-2017";"";"";17.47319;4.674536;9.141726;"";"";"";"";"";"";"";""
"Atlantic Petroleum";"Norge";"OB Standard";"Energi";"Olja & Gas";"ATLA NOK";"Aktier";"Q3-2017";"";"";-1.070273;4.188792;-0.2984925;"";"";"";"";"";"";"";""
"Atlantic Petroleum ddk";"Denmark";"Small Cap";"Energi";"Olja & Gas";"ATLA DKK";"Aktier";"Q3-2017";"";"";-0.001069801;0.004231228;-0.0003013625;"";"";"";"";"";"";"";""
"Atlas Copco A";"Sverige";"Large Cap";"Industri";"Produktion";"ATCO A";"Aktier";"Q1-2018";11.23471;4.940666;25.19662;3.901472;6.375293;208339.1;0.2664503;1224.72;0.3224729;9.206954;10191.8;0.1188911;198679.7
"Atlas Copco B";"Sverige";"Large Cap";"Industri";"Produktion";"ATCO B";"Pref";"Q1-2018";12.80463;4.940666;22.89116;3.544492;5.791963;186829.1;0.2664503;1224.72;0.3224729;9.206954;10191.8;0.1188911;177169.8
"Atria";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"ATRAV";"Aktier";"Q1-2018";0.8461739;"";11.80889;0.2208224;0.7699561;"";"";"";"";"";"";"";""
"Atrium Ljungberg";"Sverige";"Large Cap";"Finans & Fastighet";"Fastigheter";"ATRLJ B";"Aktier";"Q1-2018";6.07;2.737333;7.372801;7.167979;0.9996524;21003.21;0.05906549;118.0805;0.118241;10.55537;-419.1978;0.1781435;11026.48
"Attana";"Sverige";"NGM";"Hälsovård";"Läkemedel";"ATANA MTF";"Aktier";"Q4-2017";"";"";-10.78014;15.44262;5.542555;"";"";"";"";"";"";"";""
"Attendo";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"ATT";"Aktier";"Q1-2018";"";"";20.90784;1.120769;2.335018;"";"";"";"";"";"";"";""
"Atvexa";"Sverige";"First North";"Sällanköpsvaror";"Konsument";"ATVEXA B";"Aktier";"Q2-2018";"";"";18.31023;0.5531148;2.797104;"";"";"";"";"";"";"";""
"Auriant Mining";"Sverige";"First North";"Material";"Gruv & Metall";"AUR";"Aktier";"Q4-2017";"";"";-4.379426;0.2920869;-0.449918;"";"";"";"";"";"";"";""
"Austevoll Seafood";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"AUSS";"Aktier";"Q1-2018";"";"";11.07024;0.9325498;0.9131452;"";"";"";"";"";"";"";""
"Autoliv";"Sverige";"Large Cap";"Industri";"Produktion";"ALIV SDB";"Aktier";"Q1-2018";5.72687;12.23103;35.52589;1.37514;3.183874;53144.08;0.1053336;86.50666;0.1237545;33.58915;2119.604;0.04117049;49995.4
"Avance Gas";"Norge";"OB Match";"Energi";"Olja & Gas";"AVANCE";"Aktier";"Q1-2018";"";"";-3.313475;1.614278;0.4401922;"";"";"";"";"";"";"";""
