"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"Cantargia";"Sverige";"First North";"Hälsovård";"Bioteknik";"CANTA";"Aktier";"Q1-2018";"";"";-17.48659;"";4.271451;752.194;-1.380695;66.185;-0.8696433;-0.8578;-85.3858;"";992.775
"Capacent";"Sverige";"First North";"Industri";"Tjänster & Leverans";"CAPAC";"Aktier";"Q1-2018";"";2;13.88371;0.5616096;1.152329;132.1202;0.08740252;2.643;0.0828554;3.4861;8.981;"";127.9212
"Capio";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"CAPIO";"Aktier";"Q1-2018";"";0.66;15.912;0.3495227;0.9052933;9249.718;0.02688858;141.16;0.04647158;2.4227;402.8;0.4186648;5441.718
"CapMan";"Finland";"Mid Cap";"Finans & Fastighet";"Investmentbolag";"CAPMAN";"Aktier";"Q1-2018";0.8469136;0.088;21.87135;5.985588;1.870894;241.1519;0.07510672;143.286;0.09360082;0.0684;9.8538;0.3195079;214.3559
"Cargotec";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"CGCBV";"Aktier";"Q1-2018";0.9143705;0.88;21.80273;0.8909931;2.102986;3576.414;0.06056295;64.305;0.08944481;2.0713;76.7;0.1838654;2904.014
"Carlsberg A";"Denmark";"Large Cap";"Dagligvaror";"Livsmedel";"CARL A";"Pref";"Q4-2017";0.2315698;10.4;85.93977;1.750532;2.305496;128923.9;0.02440848;152.39;0.04059352;8.2616;5123.4;-0.2581001;108196.9
"Carlsberg B";"Denmark";"Large Cap";"Dagligvaror";"Livsmedel";"CARL B";"Aktier";"Q4-2017";0.2956204;10.4;85.93977;1.750532;2.305496;128923.9;0.02440848;152.39;0.04059352;8.2616;5123.4;-0.2581001;108196.9
"Cassandra Oil";"Sverige";"First North";"Industri";"Produktion";"CASO";"Aktier";"Q1-2018";-0.9861925;"";-0.5012912;"";4.954792;41.87304;-4.058475;127.188;-3.985532;-0.6583;-39.0952;"";41.97204
"Castellum";"Sverige";"Large Cap";"Finans & Fastighet";"Fastigheter";"CAST";"Aktier";"Q1-2018";0.4169169;4.76854;7.41546;7.394187;1.169988;77699.6;0.06063641;273.201;0.1547341;19.0885;-1977;0.1614678;38671.6
"Catella A";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CAT A";"Pref";"Q1-2018";4.809524;0.72;11.03373;0.7915542;1.228979;2303.091;-0.2639606;81.848;0.1393396;2.2114;262.8;"";1997.091
"Catella B";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CAT B";"Aktier";"Q1-2018";4.114346;0.72;11.12418;0.7980424;1.239053;2319.461;-0.2639606;81.848;0.1393396;2.2114;262.8;"";2013.461
"Catena";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CATE";"Aktier";"Q1-2018";1.137349;3.7;11.44324;7.030582;1.387822;14188.76;0.06324994;37.4;0.1476791;15.5026;-323.42;0.09583989;6634.76
"Catena Media";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"CTM";"Aktier";"Q1-2018";"";"";34.15631;9.494807;6.388101;8152.844;0.6143354;52.024;0.5380233;4.0139;-313.2388;"";7132.49
"Caverion";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"CAV1V";"Aktier";"Q1-2018";"";0.1;-56.59214;0.4108359;3.793723;1014.075;0.004278734;125.596;-0.00405579;-0.1297;10.94;"";921.8746
"Cavotec";"Sverige";"Mid Cap";"Industri";"Produktion";"CCC";"Aktier";"Q1-2018";0.01718866;0.29788;-5.721895;1.014889;1.977929;2380.079;-0.08641125;78.448;-0.1090348;-4.8061;35.42616;"";2157.32
"cBrain";"Denmark";"Small Cap";"Informationsteknik";"IT-Tjänster";"CBRAIN";"Aktier";"Q4-2017";7.886363;"";117.136;9.705846;9.19351;747.678;"";20;"";0.3338;"";"";782
"Cell Impact";"Sverige";"First North";"Industri";"Produktion";"CI B";"Aktier";"Q1-2018";0.4497366;"";-4.858971;66.30906;2.193101;79.5254;-3.078666;13.747;-1.121543;-1.6876;-18.34;"";112.7254
"CellaVision";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"CEVI";"Aktier";"Q1-2018";11.70992;1.4;62.58928;13.51837;15.64235;3819.286;0.6245892;23.852;0.2650518;2.6602;52.767;0.2748452;3971.358
"Cellink";"Sverige";"First North";"Hälsovård";"Bioteknik";"CELLNK B";"Aktier";"Q1-2018";"";"";-1595.376;36.56609;11.65195;981.963;"";7.566;"";-0.0865;"";"";1044.108
"Cemat";"Denmark";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"CEMAT";"Aktier";"Q4-2017";0.04878051;"";-39.09091;2.756099;1.140977;90.7295;"";249.85;"";-0.011;"";"";107.4355
"Cereno Scientific";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"CRNO B";"Aktier";"Q1-2018";"";"";-13.38506;8.221054;3.490495;70.346;"";10.99;"";-0.5155;"";"";75.831
"CGit";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"CGIT B";"Aktier";"Q4-2017";"";"";-119.9675;0.7751549;6.47561;43.225;"";1.476;"";-0.2459;"";"";43.542
"Challenger Mobile";"Sverige";"Aktietorget";"Telekommunikation";"Telekommunikationstjänster";"CHAL B";"Aktier";"Q1-2018";-0.3384615;"";-7.543859;47.13275;31.90524;13.34989;0.3428402;168.801;-1.302615;-0.0114;-5.21475;"";14.51689
"ChemoMetec";"Denmark";"Small Cap";"Hälsovård";"Sjukvård";"CHEMM";"Aktier";"Q2-2018";9.407674;"";60.28615;8.261648;11.37334;769.2378;"";17.402;"";0.7199;"";"";755.2468
"ChemoTech";"Sverige";"First North";"Hälsovård";"Sjukvård";"CMOTEC B";"Aktier";"Q1-2018";"";"";-1.51037;4.166482;2.178935;18.6268;"";1.462;"";-8.872;"";"";19.5908
"Cherry";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"CHER B";"Aktier";"Q1-2018";13.375;"";59.67383;2.792839;5.02291;8067.47;-0.06160937;103.734;0.06608008;1.0792;-504.4;"";6680.47
"Chordate Medical";"Sverige";"NGM";"Hälsovård";"Läkemedel";"CMH MTF";"Aktier";"Q3-2017";"";"";-0.749983;2.797121;0.4656236;11.4823;"";3.621;"";-4.4001;"";"";11.9493
"Chr Hansen";"Denmark";"Large Cap";"Hälsovård";"Bioteknik";"CHR";"Aktier";"Q2-2018";2.002438;6.30528;48.79518;10.10924;14.55313;86597.95;0.1408187;131.679;0.2626311;12.6201;805.4884;0.1074687;81087.93
"Christian Berner Tech";"Sverige";"Small Cap";"Industri";"Produktion";"CBTT B";"Aktier";"Q1-2018";"";0.45;18.70828;0.7796221;3.512888;441.7321;0.4388709;18.759;0.1859492;1.0637;-6.686002;0.1428074;373.3041
"ChromoGenics";"Sverige";"First North";"Industri";"Byggprodukter";"CHRO";"Aktier";"Q1-2018";"";"";-0.4774239;4.035396;0.6044474;-1.71496;"";33.116;"";-1.9689;"";"";31.12904
"Cibus Nordic";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"CIBUS";"Aktier";"Q4-2017";"";"";"";"";"";0.103;"";0.001;"";"";"";"";0.103
"Cimco Marine";"Sverige";"First North";"Industri";"Produktion";"CIMCO";"Aktier";"Q4-2017";"";"";-5.695842;19.80633;2.098187;279.113;"";24.101;"";-2.1068;"";"";289.212
"Cinnober";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"CINN";"Aktier";"Q1-2018";"";"";-9.868362;3.198861;9.358356;1167.039;-3.063814;22.431;-0.3493003;-5.6139;-37.9136;"";1242.677
"Cisco Systems";"USA";"NYSE & Nasdaq
";"Informationsteknik";"IT-Tjänster";"CSCO";"Aktier";"Q3-2017";1.176777;0.83;23.03872;4.748278;3.522972;194835;0.1147417;5015;0.155932;1.9936;3674.2;0.05892656;230339
"Citycon";"Finland";"Large Cap";"Finans & Fastighet";"Fastigheter";"CTY1S";"Aktier";"Q1-2018";-0.177904;0.134;21.39955;5.078062;0.7661476;3751.64;0.02547277;890;0.04886661;0.0886;-27.24;-0.1654021;1687.44
"Clas Ohlson";"Sverige";"Mid Cap";"Sällanköpsvaror";"Återförsäljare";"CLAS B";"Aktier";"Q3-2018";-0.102907;5.65;10.53012;0.6017177;2.133382;4291.417;0.2379897;63.194;0.2025415;7.3266;410.52;0.06993711;4875.417
"Clavister";"Sverige";"First North";"Informationsteknik";"Kommunikation";"CLAV";"Aktier";"Q1-2018";"";"";-4.17412;3.541913;2.446218;269.0678;-0.4648178;23.562;-0.4436442;-3.6894;-77.6132;"";362.8548
"Clean Motion";"Sverige";"First North";"Industri";"Produktion";"CLEMO";"Aktier";"Q1-2018";"";"";-21.11655;27.83521;8.326199;158.582;-0.1313252;13.963;-0.2788434;-0.5517;-10.48375;"";162.6689
"Cleantech Building";"Denmark";"First North";"Industri";"Byggprodukter";"CBM";"Aktier";"Q2-2017";"";"";-3.925674;34.87514;1.07848;109.4866;"";36.498;"";-0.7642;"";"";109.494
"Clemondo";"Sverige";"First North";"Industri";"Produktion";"CLEM";"Aktier";"Q1-2018";"";"";-2.323734;0.1280193;1.636354;140.2181;-0.4094749;51.023;-1.778615;-0.3021;-20.1598;"";35.81815
"Climeon";"Sverige";"First North";"Kraftförsörjning";"Energiproducenter";"CLIME B";"Aktier";"Q1-2018";"";"";-29.06977;58.66798;9.433033;1826.646;"";44.701;"";-1.5136;"";"";1966.844
"Cline Scientific";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"CLINE B";"Aktier";"Q4-2017";"";"";-7.964005;53.31325;16.81444;22.177;"";7.5;"";-0.4445;"";"";26.55
"Clinical Laserthermia";"Sverige";"First North";"Hälsovård";"Sjukvård";"CLS B";"Aktier";"Q1-2018";-0.2654318;"";-17.37238;20.20872;7.94294;245.8701;-1.106475;28.695;-0.7852882;-0.5054;-22.0564;"";251.9421
"Cloetta";"Sverige";"Mid Cap";"Dagligvaror";"Livsmedel";"CLA B";"Aktier";"Q1-2018";0.575;0.85;-135.9925;1.382398;2.043618;10781;0.005752109;286.163;0.01254316;-0.2131;489.4;"";8293.004
"CloudRepublic";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"CLDR MTF B";"Aktier";"Q4-2017";"";"";-2.358311;4.702518;1.034847;2.01544;"";2.092;"";-2.8919;"";"";14.26744
"CLX Communications";"Sverige";"Mid Cap";"Informationsteknik";"Kommunikation";"CLX";"Aktier";"Q1-2018";"";"";33.81643;1.10111;2.444334;4259.943;0.3209417;52.002;0.3214783;2.1114;-198.4486;"";3712.943
"Coca-Cola";"USA";"NYSE & Nasdaq
";"Dagligvaror";"Livsmedel";"KO";"Aktier";"Q3-2017";-0.0002372986;1.304;39.5941;4.828812;8.144514;201891.5;-0.5697786;4275;0.2521538;1.0643;6029;-0.1187429;180148.5
"Cognosec";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"COGS";"Aktier";"Q1-2018";"";"";-2.798233;0.5733553;-143.9199;90.776;"";245.8;"";-0.1358;"";"";93.404
"Colabitoil";"Sverige";"Aktietorget";"Energi";"Olja & Gas";"COLAB";"Aktier";"Q1-2018";"";"";134.3727;0.3869745;1.650928;159.5185;"";8.775;"";0.1347;"";"";158.8275
"Colgate Palmolive";"USA";"NYSE & Nasdaq
";"Dagligvaror";"Konsumentprodukter";"CL";"Aktier";"Q3-2017";0.03893304;1.476;23.95798;3.616389;207.001;60416.28;0.4303524;881.3471;24.64636;2.6175;2438.4;0.001342544;55269.28
"Collector";"Sverige";"Large Cap";"Finans & Fastighet";"Bank";"COLL";"Aktier";"Q1-2018";"";"";12.3587;3.178988;2.108813;20742.05;0.1979742;102.69;0.1717526;5.0248;-4061;0.2061616;6377.049
"Coloplast";"Denmark";"Large Cap";"Hälsovård";"Sjukvård";"COLO B";"Aktier";"Q2-2018";0.8768292;13.5;34.43858;8.192185;24.20169;132473.3;0.4960501;211.352;0.506456;17.8753;2477.8;0.06827123;130108.3
"Columbus";"Denmark";"Mid Cap";"Informationsteknik";"IT-Tjänster";"COLUM";"Aktier";"Q1-2018";6.056604;"";16.01199;1.593718;3.246927;1868.799;"";118.319;"";0.9343;"";"";1770.052
"Com Hem";"Sverige";"Large Cap";"Telekommunikation";"Telekommunikationstjänster";"COMH";"Aktier";"Q1-2018";"";3.7;59.78603;3.764265;8.345228;37894.43;0.004799804;177.391;0.03430486;2.5424;488.8;"";26963.43
"CombiGene";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"COMBI";"Aktier";"Q1-2018";"";"";-4.052033;90.80668;6.87721;40.79934;-5.526827;16.754;-1.199631;-0.6688;-7.206;"";45.40334
"Community Entertainment";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"CEAB";"Aktier";"Q1-2018";-0.7866666;"";-3.157375;7.314098;1.826412;13.54992;-1.733531;5.557;-1.032051;-0.8108;-2.22075;"";14.22592
"Compare-IT";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";"COMPIT";"Aktier";"Q2-2018";"";"";-7.258065;8.217241;3.50314;33.9006;-0.9406646;7.149;-0.7575507;-0.744;-5.456;"";38.6046
"Componenta";"Finland";"Small Cap";"Industri";"Tjänster & Leverans";"CTH1V";"Aktier";"Q4-2017";-0.8756173;"";0.2878571;0.2320968;1.951896;47.7197;0.7756066;177.269;0.4664108;0.7;-12.72;"";35.7197
"Computer Innovation";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"COMP MTF";"Aktier";"Q4-2017";"";"";-0.3787879;0.5126724;0.1693893;1.4846;"";156.16;"";-0.0264;"";"";1.5616
"Concent";"Sverige";"NGM";"Finans & Fastighet";"Fastigheter";"COHO MTF B";"Aktier";"Q4-2017";"";"";-1.71123;0.1741426;1.297128;258.602;"";84.214;"";-0.374;"";"";53.89696
"Concent Pref";"Sverige";"NGM";"Finans & Fastighet";"Fastigheter";"COHO MTF PREF";"Pref";"Q4-2017";"";"";"";"";"";25;"";1;"";"";"";"";25
"Concentric";"Sverige";"Mid Cap";"Industri";"Produktion";"COIC";"Aktier";"Q1-2018";1.236559;3.45;19.39816;2.85449;6.11353;6260.552;0.2305375;39.542;0.3127472;8.042;353.8;0.149902;6168.552
"Concordia Maritime";"Sverige";"Small Cap";"Energi";"Olja & Gas";"CCOR B";"Aktier";"Q1-2018";0.02985076;0.2;-0.7510994;0.6158005;0.4098524;1678.695;-0.09596815;47.729;-0.1908277;-13.7798;316.56;"";493.9951
"Conferize";"Denmark";"First North";"Informationsteknik";"Kommunikation";"CONFRZ";"Aktier";"Q4-2017";"";"";-23.82426;10931.43;2.401516;75.9779;"";12.777;"";-0.3232;"";"";98.3829
"Confidence";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"CONF";"Aktier";"Q1-2018";-0.9490909;"";-0.4781421;0.07374596;0.4000762;33.08378;-0.336766;59.277;-0.3552538;-0.2928;-8.8034;"";8.29878
"Consensus";"Sverige";"Aktietorget";"Finans & Fastighet";"Bank";"CAM B";"Aktier";"Q1-2018";"";"";33.58209;5.317353;7.368474;339.9077;0.05154652;754.237;0.06460839;0.0134;6.008601;"";339.4066
"Consilium";"Sverige";"Small Cap";"Industri";"Produktion";"CONS B";"Aktier";"Q1-2018";2.885715;1.05;39.98824;0.571116;1.336249;1600.736;0.04185081;11.702;0.1043559;1.7005;-123.76;0.9520237;795.736
"Consti Yhtiöt";"Finland";"Small Cap";"Industri";"Byggnation";"CONSTI";"Aktier";"Q1-2018";"";0.186;-48.17352;0.2166966;2.631493;86.61652;0.05168913;7.858;0.9125874;-0.1752;6.86602;"";66.32152
"ContextVision";"Norge";"OB Match";"Hälsovård";"Sjukvård";"COV";"Aktier";"Q1-2018";3.753363;"";-212.4249;5.201483;8.108267;372.994;0.09942824;7.737;0.04054235;-0.2495;2.07964;"";410.061
"Coor Service Management";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"COOR";"Aktier";"Q1-2018";"";2.6;1205.374;0.7598174;2.369828;7135.994;-0.005024797;95.812;-0.05143593;0.0521;160.2;"";6016.994
"Copenhagen Capital";"Denmark";"Small Cap";"Finans & Fastighet";"Investmentbolag";"CPHCAP ST";"Aktier";"Q4-2017";"";"";3.953819;7.649337;0.9127327;311.625;"";54.5;"";0.6323;"";"";136.25
"Copenhagen Capital Praef";"Denmark";"Small Cap";"Finans & Fastighet";"Investmentbolag";"CPHCAP PREF";"Pref";"Q3-2017";"";"";"";"";"";0.0017;"";0.001;"";"";"";"";0.0017
"Copperstone";"Sverige";"First North";"Material";"Gruv & Metall";"COPP B";"Aktier";"Q1-2018";-0.3834013;"";-44.78261;25.33314;4.160645;258.7599;-0.2807945;242.353;-0.2665637;-0.0253;-16.3812;"";274.5859
"Corem A";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CORE A";"Aktier";"Q1-2018";1.21986;0.322;3.505516;3.863395;0.7583702;11595.92;0.07729272;366.374;0.1995943;2.7103;-181;0.2288792;3480.919
"Corem B";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CORE B";"Pref";"Q1-2018";"";0.322;3.504409;3.862176;0.7581308;11594.82;0.07729272;366.374;0.1995943;2.7103;-181;0.2288792;3479.82
"Corem Pref";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"CORE PREF";"Pref";"Q4-2017";0.2055762;20;"";"";"";324.3;"";1;"";"";"";"";324.3
"Corline Biomedical";"Sverige";"First North";"Hälsovård";"Läkemedel";"CLBIO";"Aktier";"Q1-2018";"";"";-39.04677;17.30857;5.756974;242.4263;-0.234922;14.563;-0.1692458;-0.4469;-12.6688;"";254.1243
"Cortus Energy";"Sverige";"First North";"Energi";"Olja & Gas";"CE";"Aktier";"Q4-2017";-0.8440765;"";-6.07717;14.64786;3.001971;118.0724;-0.8604928;234.805;-0.4624405;-0.0933;-22.127;"";133.1344
"C-RAD";"Sverige";"Small Cap";"Hälsovård";"Sjukvård";"CRAD B";"Aktier";"Q1-2018";1.222222;"";-106.9182;7.625175;16.05128;1058.7;-0.2727826;31.3;-0.2862192;-0.318;-24.4696;"";1064.2
"Cramo";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"CRA1V";"Aktier";"Q4-2017";1.042418;0.68;10.1652;1.142844;1.535479;1247.976;0.05773929;44.438;0.1009913;1.8947;23.9596;0.1544462;855.8759
"Crayon Group";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"CRAYON";"Aktier";"Q1-2018";"";"";-36.71072;0.1933454;2.745004;1876.097;"";75.394;"";-0.5448;"";"";1507.88
"Creades";"Sverige";"Mid Cap";"Finans & Fastighet";"Investmentbolag";"CRED A";"Aktier";"Q1-2018";1.136958;12.916;6.390623;"";0.9340966;2993.55;0.1470639;12.465;0.125718;42.2494;143.4;-0.01397718;3365.55
"Crowdsoft";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"CROWD";"Aktier";"Q1-2018";"";"";-1.736973;2.700648;0.2271575;10.31699;"";344.757;"";-0.0403;"";"";24.13299
"Crown Energy";"Sverige";"NGM";"Energi";"Olja & Gas";"CRWN";"Aktier";"Q1-2018";-0.7115385;"";-22.2332;8.1408;1.407723;1071.694;-0.08976854;477.315;-0.1301129;-0.1012;2.638;"";1073.959
"Crunchfish";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"CFISH";"Aktier";"Q1-2018";"";"";-6.903694;12.64532;4.887972;140.867;"";15.402;"";-1.4485;"";"";154.02
"CTT Systems";"Sverige";"Small Cap";"Industri";"Produktion";"CTT";"Aktier";"Q1-2018";4.571809;1.74;57.81703;9.517134;15.16364;2591.025;0.2273742;12.529;0.2046327;3.6235;36.82;0.6458923;2624.825
"Cxense";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"CXENSE";"Aktier";"Q1-2018";"";"";-1.595745;2.338817;2.2161;302.8788;-1.539501;7.946;-0.9894659;-28.764;-107.3546;"";364.7214
"CybAero";"Sverige";"First North";"Industri";"Produktion";"CBA";"Aktier";"Q4-2017";-0.9939591;"";-0.09822852;3.203914;0.7929526;12.38206;-2.018204;10.461;-2.349053;-14.8633;-75.821;"";15.27306
"Cyxone";"Sverige";"First North";"Hälsovård";"Läkemedel";"CYXO";"Aktier";"Q1-2018";"";"";-11.68992;"";3.426574;90.59576;"";17.798;"";-0.5663;"";"";117.8228
"D. Carnegie & Co";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"DCAR B";"Aktier";"Q1-2018";"";"";7.47026;7.395964;1.227354;22308.93;0.07024893;78.781;0.190875;19.1158;-1412.409;"";11249.93
"DalsSpira Mejeri";"Sverige";"Aktietorget";"Dagligvaror";"Livsmedel";"SPIRA";"Aktier";"Q1-2018";"";"";-3.190418;0.7010607;2.153981;16.8479;"";2.957;"";-1.7866;"";"";16.8549
"Danske Andelskassers";"Denmark";"Small Cap";"Finans & Fastighet";"Bank";"DAB";"Aktier";"Q4-2017";-0.2749085;"";9.090909;0.935141;0.3763688;672.8548;"";121.132;"";0.484;"";"";532.9808
"Danske Bank";"Denmark";"Large Cap";"Finans & Fastighet";"Bank";"DANSKE";"Aktier";"Q1-2018";0.9056438;8.5;10.01065;3.210925;1.200559;359770.7;0.004378666;886.875;0.09118248;21.587;69696.4;0.2506913;191653.7
"Dantax";"Denmark";"Small Cap";"Sällanköpsvaror";"Konsument";"DANT";"Aktier";"Q2-2018";2.204301;"";8.018663;1.517415;1.254614;87.087;"";0.3;"";37.1633;"";"";89.4
"Data Respons";"Norge";"OB Match";"Informationsteknik";"Elektronisk utrustning";"DAT";"Aktier";"Q1-2018";2.657895;1;49.07326;1.146395;3.899121;1611.604;0.1030541;53.662;0.1254867;0.5665;-23.8;-0.0137804;1491.804
"DDM Holding";"Sverige";"First North";"Finans & Fastighet";"Bank";"DDM";"Aktier";"Q1-2018";"";"";15.93037;3.080633;1.963027;1813.973;0.00709946;13.56;-0.06180871;3.0445;-324.0685;"";657.66
"Dedicare";"Sverige";"Small Cap";"Industri";"Bemanning";"DEDI";"Aktier";"Q1-2018";2.065;4.88;11.3746;0.7142858;4.614061;470.2715;1.716472;9.055;0.4778287;5.3892;55.74;0.2932057;555.0715
"Deere & Co";"USA";"NYSE & Nasdaq
";"Industri";"Produktion";"DE";"Aktier";"Q3-2017";0.8426237;2.282;26.20822;1.794969;5.911346;84839;0.06994411;318.8;0.2878495;6.0668;1280.22;-0.0469968;50689.2
"Deflamo";"Sverige";"First North";"Industri";"Produktion";"DEFL B";"Aktier";"Q1-2018";-0.9842415;"";-0.2965709;1.794329;1.121406;4.521504;-1.672846;39.293;-1.904201;-0.4316;-13.6976;"";5.029504
"Delarka";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"DELARK";"Aktier";"Q4-2017";"";6.4;-41.35996;5.621539;1.311414;1267.006;0.008356659;5;0.01827684;-2.7442;-209.5794;"";567.5
"Detection";"Finland";"First North";"Informationsteknik";"Elektronisk utrustning";"DETEC";"Aktier";"Q4-2017";"";"";18.25688;3.102887;6.643051;254.836;"";13.9;"";1.09;"";"";276.61
"DevPort";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"DEVP B";"Aktier";"Q1-2018";"";"";18.87994;1.310636;6.192781;329.9946;"";4.913;"";3.6123;"";"";335.0666
"DexTech Medical";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"DEX";"Aktier";"Q3-2018";"";"";-53.99828;50.28704;20.66855;458.0552;-0.465895;14.753;-0.2501487;-0.5815;-8.5128;"";463.2442
"DFDS";"Denmark";"Large Cap";"Industri";"Tjänster & Leverans";"DFDS";"Aktier";"Q1-2018";4.809091;"";12.64299;1.435264;3.297963;23942.78;"";54.628;"";30.3251;"";"";20944.38
"Diadrom";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"DIAH";"Aktier";"Q1-2018";-0.1226415;0.85;15.61451;1.660872;8.713664;100.3879;0.6801895;7.282;0.4043617;0.8934;4.5624;-0.02805488;101.5839
"Diamyd Medical";"Sverige";"First North";"Hälsovård";"Bioteknik";"DMYD B";"Aktier";"Q1-2018";0.5613382;"";-7.396971;191.1136;3.117405;192.9406;-1.729749;56.333;-0.5429144;-0.5678;-39.0768;"";236.5986
"Digia";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"DIGIA";"Aktier";"Q4-2017";-0.1230984;0.07;57.01944;0.5674286;1.24887;60.21864;0.04376936;20.876;0.04769637;0.0463;0.9467999;-0.2489905;55.11264
"Digitalist Group";"Finland";"Small Cap";"Informationsteknik";"IT-Tjänster";"DIGIGR";"Aktier";"Q1-2018";-0.7821656;"";-4.5;1.792446;14.54187;49.87956;-1.591895;553.824;-2.806918;-0.0152;-6.8252;"";37.88156
"Dignitana";"Sverige";"First North";"Hälsovård";"Läkemedel";"DIGN";"Aktier";"Q1-2018";-0.8043243;"";-3.379072;6.397758;3.485888;129.6228;-1.082715;40.548;-0.719408;-1.0713;-32.9038;"";146.7838
"DistIT";"Sverige";"First North";"Industri";"Handel & Distribution";"DIST";"Aktier";"Q1-2018";0.5573771;1.86;14.72298;0.2516803;1.350061;678.916;0.338978;12.282;0.351834;2.581;-23.36;0.1674767;466.716
"Dividend Sweden";"Sverige";"NGM";"Finans & Fastighet";"Bank";"DIVI MTF B";"Aktier";"Q4-2017";"";"";-10.48789;0.5835342;0.8358353;34.10358;"";10.9505;"";-0.3013;"";"";34.60358
"Diös";"Sverige";"Mid Cap";"Finans & Fastighet";"Fastigheter";"DIOS";"Aktier";"Q1-2018";0.3901516;2.7;7.953708;4.243487;1.040597;18467.88;0.04593954;134.512;0.1405946;6.9213;-357;0.098856;7404.886
"Djurslands Bank";"Denmark";"Small Cap";"Finans & Fastighet";"Bank";"DJUR";"Aktier";"Q4-2017";0.5333333;"";6.331832;2.011434;0.6114811;685.704;"";2.7;"";36.3244;"";"";621
"DLH";"Denmark";"Small Cap";"Material";"Skog";"DLH";"Aktier";"Q4-2017";-0.502849;"";38.86414;0.2973351;1.460111;84.75508;"";53.384;"";0.0449;"";"";93.15508
"DNA";"Finland";"Large Cap";"Telekommunikation";"Telekommunikationstjänster";"DNA";"Aktier";"Q1-2018";"";0.654;28.15934;3.016363;5.169169;3018.285;0.07642367;132.304;0.1133584;0.728;50.86301;0.2720267;2712.232
"DNB";"Norge";"OBX";"Finans & Fastighet";"Bank";"DNB";"Aktier";"Q1-2018";0.5688843;5.64;11.06464;4.762668;1.11555;219578.8;0.008481838;1625;0.109119;13.5341;-296.6;0.04714838;243343.8
"DNO";"Norge";"OBX";"Energi";"Olja & Gas";"DNO";"Aktier";"Q1-2018";0.540797;"";4.199964;5.049939;2.304775;15740.89;0.1026961;1023.279;0.02299918;3.8667;230.2154;0.9896824;16618.05
"DOF";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"DOF";"Aktier";"Q1-2018";-0.9665339;"";-1.21123;0.1879018;0.1827095;17903.68;-0.02236728;162.9377;-0.07808017;-6.9351;25.8;"";1368.677
"Dome Energy";"Sverige";"First North";"Energi";"Olja & Gas";"DOME";"Aktier";"Q4-2017";-0.7878378;"";0.8526816;1.374961;1.037193;429.251;0.2999849;184.328;0.145016;0.7365;-127.1738;-0.01186697;115.758
