"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"Activision Blizzard";"USA";"NYSE & Nasdaq
";"Sällanköpsvaror";"Betting & Spel";"ATVI";"Aktier";"Q1-2018";3.577835;0.266;156.3334;7.474936;5.523795;53413.14;0.06854595;759;0.07922558;0.4571;788.2;-0.1425665;54238.14
"AcuCort";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"ACUC";"Aktier";"Q1-2018";"";"";-5.820722;"";0.988272;17.902;"";6.973;"";-0.6872;"";"";27.892
"AdCityMedia";"Sverige";"First North";"Sällanköpsvaror";"Media";"ACM";"Aktier";"Q1-2018";"";2.45;58.28544;2.020309;4.61062;257.214;0.1702027;1.774;0.2526021;2.4706;1.932;"";255.456
"AdderaCare";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDERA";"Aktier";"Q1-2018";"";"";-111.2619;0.8983709;1.490335;181.713;"";14.855;"";-0.0737;"";"";121.811
"AddLife";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"ALIF B";"Aktier";"Q1-2018";"";"";40.66463;2.028025;5.930398;5402.97;"";24.172;"";4.8568;"";"";4773.97
"Addnode";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ANOD B";"Aktier";"Q1-2018";1.478723;2.25;30.99332;1.075755;2.724108;3151.796;0.1026591;30.427;0.09668183;3.0071;-93.75999;0.06546883;2835.796
"Addtech";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"ADDT B";"Aktier";"Q4-2018";1.60543;3.4;25.113;1.60907;6.057231;14313.96;0.3674657;66.95;0.462031;7.6773;110;0.09567183;12907.96
"ADDvise Group A";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDV A";"Aktier";"Q1-2018";-0.4606452;"";-15.8694;0.3212511;1.595322;227.9339;-0.05108526;38.777;-0.6281644;-0.1317;-46.4626;"";81.04393
"ADDvise Group B";"Sverige";"First North";"Hälsovård";"Sjukvård";"ADDV B";"Pref";"Q1-2018";"";"";-10.55429;0.213655;1.061003;200.79;-0.05108526;38.777;-0.6281644;-0.1317;-46.4626;"";53.90003
"Admicom";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"ADMCM";"Aktier";"Q4-2017";"";"";37.76361;9.198568;16.10196;72.654;"";4.84;"";0.4078;"";"";74.536
